Epoch,Train Loss,Val Loss
1,0.014675526,0.005082364
2,0.004046121,0.004058566
3,0.003755332,0.003807522
4,0.003604532,0.003634130
5,0.003548662,0.003392318
6,0.003516730,0.003631408
7,0.003473126,0.003990509
8,0.003478524,0.003298874
9,0.003424787,0.003626724
10,0.003397988,0.003287998
11,0.003234530,0.003238586
12,0.003254150,0.003210569
13,0.003254373,0.003264656
14,0.003269681,0.003414728
15,0.003251078,0.003343794
16,0.003256673,0.003240881
17,0.003242554,0.003200123
18,0.003247542,0.003389596
19,0.003242868,0.003346967
20,0.003242606,0.003225508
21,0.003234956,0.003209659
22,0.003234707,0.003251646
23,0.003234299,0.003345104
24,0.003230874,0.003283216
25,0.003216094,0.003272677
26,0.003128498,0.003143681
27,0.003071185,0.003051793
28,0.003018663,0.003021892
29,0.002950393,0.002934577
30,0.002899095,0.003339908
31,0.002883738,0.002824220
32,0.002817507,0.002966842
33,0.002779657,0.002784853
34,0.002791126,0.002828583
35,0.002723486,0.002768741
36,0.002710342,0.002779596
37,0.002662290,0.002774914
38,0.002672976,0.002577142
39,0.002651516,0.002796845
40,0.002613325,0.003093595
41,0.002448156,0.002442882
42,0.002427097,0.002393308
43,0.002420367,0.002515835
44,0.002413262,0.002484480
45,0.002411629,0.002477974
46,0.002421644,0.002597002
47,0.002413626,0.002525987
48,0.002398958,0.002416578
49,0.002396076,0.002383703
50,0.002397002,0.002498843
