Epoch,Train Loss,Val Loss
Epoch,Train Loss,Val Loss
1,1.692851076,1.504967680
2,1.193878583,0.066199955
3,0.069795264,0.070738635
4,0.069997206,0.068492229
5,0.068939992,0.068439601
6,0.068265971,0.067172465
7,0.067396417,0.068898889
8,0.066710105,0.069098713
9,0.066502080,0.067354958
10,0.066256946,0.066801219
11,0.063278775,0.063699110
12,0.063865222,0.064154204
13,0.063837772,0.064408554
14,0.063782765,0.064009823
15,0.063747594,0.065256392
16,0.063672048,0.064885091
17,0.063663197,0.064360701
18,0.063648472,0.063666176
19,0.063555230,0.064054246
20,0.063570167,0.064035207
21,0.062831018,0.063697334
22,0.062928906,0.063453300
23,0.062930414,0.064230876
24,0.062922754,0.063209964
25,0.062904494,0.063384962
26,0.062901198,0.063534161
27,0.062896508,0.063650922
28,0.062878212,0.063408023
29,0.062873746,0.063458014
30,0.062862396,0.063513240
31,0.062589484,0.063440279
32,0.062621849,0.063123185
33,0.062633062,0.063156763
34,0.062611867,0.063112643
35,0.062610115,0.063317175
36,0.062608313,0.063150296
37,0.062593190,0.063122873
38,0.049169294,0.005851413
39,0.005315890,0.005359423
40,0.005090660,0.005038597
41,0.005003116,0.005009300
42,0.004952614,0.004949414
43,0.004924737,0.005073685
44,0.004902811,0.004934046
45,0.004881671,0.004953642
46,0.004866105,0.004881034
47,0.004856056,0.004926061
48,0.004834281,0.004808570
49,0.004833514,0.004953214
50,0.004827432,0.004843993
