Epoch,Train Loss,Val Loss
1,0.009208565,0.005557445
2,0.003401851,0.003885779
3,0.003215783,0.003978135
4,0.003128136,0.003881971
5,0.003079144,0.003908700
6,0.003040142,0.003650536
7,0.003011099,0.003676331
8,0.002989468,0.003767749
9,0.002973546,0.003635632
10,0.002948181,0.003588965
11,0.002846082,0.003519970
12,0.002853674,0.003509323
13,0.002843261,0.003483547
14,0.002843961,0.003484658
15,0.002842724,0.003497172
16,0.002837444,0.003473110
17,0.002828970,0.003424934
18,0.002806356,0.003415130
19,0.002778820,0.003413275
20,0.002750204,0.003351181
21,0.002541269,0.002994077
22,0.002440800,0.003038226
23,0.002384830,0.002882952
24,0.002338722,0.002831075
25,0.002328987,0.002775055
26,0.002292825,0.003083336
27,0.002268738,0.002738171
28,0.002263044,0.002779183
29,0.002237515,0.002719910
30,0.002229619,0.002711573
31,0.002079621,0.002944218
32,0.002077309,0.002642184
33,0.002068630,0.002621334
34,0.002057075,0.002568130
35,0.002055432,0.002481817
36,0.002061265,0.002570460
37,0.002059846,0.002502790
38,0.002054035,0.002437238
39,0.002049605,0.002696877
40,0.002042722,0.002416597
41,0.002037753,0.002500280
42,0.002035164,0.002940215
43,0.002035249,0.002460990
44,0.002029906,0.002520162
45,0.002025175,0.002518127
46,0.002022284,0.002460631
47,0.002013820,0.002557144
48,0.002029401,0.002428761
49,0.002018274,0.002704114
50,0.002021762,0.002400809
