Epoch,Train Loss,Val Loss
1,12.234046115,9.386699343
2,8.178525110,7.223425198
3,7.085632505,6.871818781
4,6.880787397,6.850664258
5,6.873276777,6.819963241
6,6.786145246,6.786872506
7,6.701073858,6.592424083
8,6.586244269,6.605903792
9,6.511582320,6.504473233
10,6.505840308,6.469976115
11,6.486021609,6.505665517
12,6.484687443,6.473629284
13,6.475489665,6.513454509
14,6.467440816,6.467439222
15,6.454449642,6.451854467
16,6.499463914,6.449120235
17,6.581814482,6.442893410
18,6.448500253,6.430875516
19,6.489909311,6.454269385
20,6.463078342,6.461661887
21,6.482728524,6.549045372
22,6.510194700,6.455999279
23,6.489607394,6.446217203
24,6.464462938,6.438143373
25,6.514704390,6.608955574
26,6.460345365,6.448819661
27,6.468791593,6.513576746
28,6.468473519,6.479585934
29,6.487701700,6.523870492
30,6.457033169,6.437113357
31,6.438470297,6.430394363
32,6.451148432,6.432619333
33,6.441746651,6.437079573
34,6.435699608,6.432633710
35,6.435188746,6.437585592
36,6.438777875,6.433046579
37,6.444872971,6.447126722
38,6.453477690,6.439277864
39,6.440053511,6.438919258
40,6.440750871,6.446998596
41,6.445015123,6.440317178
42,6.440321494,6.427617240
43,6.437406389,6.428461432
44,6.441923878,6.438125825
45,6.441929932,6.433404613
46,6.449508564,6.432287431
47,6.446434299,6.440059352
48,6.448847813,6.442424655
49,6.452874491,6.444781733
50,6.442621485,6.430280614
51,6.436584907,6.434534287
52,6.431889769,6.432878423
53,6.441804548,6.434033918
54,6.433208532,6.435998440
55,6.448233924,6.433053994
