Epoch,Train Loss,Val Loss
1,2970.770319299,2814.126879883
2,2333.461489134,1578.938525391
3,923.640505247,528.017698669
4,516.812852690,512.589392090
5,514.177752917,509.340353394
6,511.469123551,508.613157654
7,511.989742617,508.658692932
8,511.589069222,509.855651855
9,512.665996310,516.337457275
10,511.613476717,515.113774109
11,514.169358266,514.784103394
12,512.126087816,511.043490601
13,513.282396148,514.600166321
14,513.910157409,508.685585022
15,512.761267167,511.254988098
16,510.565165459,513.439770508
17,511.984779841,509.671469116
18,511.438721089,508.284361267
19,510.956201481,510.227093506
20,512.040331877,509.284915161
21,510.865105351,508.697062683
22,510.848658694,511.682748413
23,511.983246236,508.619883728
24,510.979103958,511.220231628
25,512.195752108,508.610382080
26,511.236549860,508.137535095
27,510.911755139,508.240669250
28,511.359166399,509.175659180
29,511.302961132,510.121716309
30,511.660876310,508.312811279
31,511.579703415,508.077239990
32,510.788838447,507.676568604
33,511.042653917,509.046630859
34,510.439419903,508.596464539
35,510.872054474,507.737631226
36,510.992369833,508.685675049
37,511.238371258,507.744841003
38,510.422509688,510.408932495
39,511.390576713,507.991822815
40,510.470757979,509.149382019
41,511.154304987,507.703497314
42,511.128748254,508.886949158
43,510.423452257,508.483586121
44,510.996158262,508.848945618
45,511.309770415,508.031431580
46,510.737559258,508.338075256
47,510.936069923,510.416160583
48,511.079206636,509.420713806
49,510.904371044,507.828948975
50,510.410172861,508.358290100
51,511.115108442,508.032287598
52,510.313733837,507.998583984
53,509.665955362,507.977986145
54,511.016554820,507.791587830
55,510.894513480,508.269001770
