Epoch,Train Loss,Val Loss
1,14.338910813,14.310721485
2,7.509377656,4.498899144
3,3.212429341,2.576122631
4,2.498270844,2.234155946
5,2.195473668,2.259503298
6,2.150589666,1.867154485
7,2.396088593,2.007652014
8,2.219003858,2.145188652
9,2.317223613,2.282788663
10,2.137166852,1.797308396
11,1.732242717,1.815369407
12,1.768867164,1.726342427
13,1.791712496,2.113780621
14,1.840297677,1.697471534
15,1.784128949,1.690186959
16,1.798199597,1.772347697
17,1.779698808,1.837293291
18,1.753195924,1.848052103
19,1.791086261,1.716739734
20,1.758255564,2.201335664
21,1.739086728,1.745866908
22,1.762106515,2.148652672
23,1.748817416,1.693025329
24,1.755570300,1.697455704
25,1.751967902,1.796356741
26,1.625113461,1.639856765
27,1.665786436,1.634674554
28,1.654153451,1.624008114
29,1.661901076,1.680401891
30,1.647893540,1.719772041
31,1.661555567,1.622232044
32,1.654016968,1.641935608
33,1.647419708,1.715883711
34,1.667460058,1.685393254
35,1.663796117,1.620831564
36,1.635188164,1.809384029
37,1.656706193,1.608824888
38,1.642395249,1.623594439
39,1.654537972,1.629040444
40,1.644931801,1.850194697
41,1.594590883,1.595901441
42,1.600560357,1.604219355
43,1.616280328,1.618393027
44,1.599731109,1.601663883
45,1.606311054,1.596453273
46,1.604105188,1.656578045
47,1.592326984,1.587055079
48,1.591456237,1.578305305
49,1.590887968,1.583482872
50,1.608555524,1.593489852
51,1.590114880,1.600306735
52,1.592592407,1.585090828
53,1.592431479,1.579173555
54,1.593471093,1.591734508
55,1.594494756,1.585524009
56,1.570912811,1.575094845
57,1.585150771,1.618467831
58,1.585738691,1.664384611
59,1.582803519,1.575655661
60,1.569284199,1.564173394
