Epoch,Train Loss,Val Loss
1,185.294364511,29.317137232
2,27.721205328,38.075711182
3,22.636817261,16.300848056
4,16.309614477,20.596711850
5,18.098230847,13.065508555
6,15.536246949,14.148020375
7,14.625277869,19.990042433
8,14.020516419,28.216271157
9,13.633715202,15.124347881
10,12.088355175,14.028226069
11,7.565209278,8.021552869
12,8.238991026,10.289385270
13,8.513075619,13.257846691
14,8.391070295,7.867417041
15,8.495684983,7.897541973
16,8.024454931,8.906108156
17,8.209320201,7.591763805
18,8.182697365,8.714932230
19,7.798993397,7.234971392
20,8.013994745,7.564473731
21,7.526184718,10.096468541
22,7.669023690,8.615412153
23,7.587992149,9.239052206
24,7.510187454,10.556582427
25,7.491580519,8.651549004
26,6.154560795,6.274786360
27,6.313869907,6.666813590
28,6.246282980,6.630162896
29,6.379385605,7.503791167
30,6.290572337,6.028563585
31,6.343622175,6.596163156
32,6.260624700,7.237421367
33,6.393678138,6.271167877
34,6.346383350,7.385400359
35,6.199719986,6.607538527
36,6.189291481,7.772719858
37,6.235886196,6.222344552
38,6.165257898,5.815459777
39,6.137540139,7.856653739
40,6.172012803,5.793764336
41,5.667286811,5.762151351
42,5.738589023,5.971471117
43,5.723442707,5.608817555
44,5.736445257,6.126194793
45,5.751495614,6.221667462
46,5.715804508,6.699319139
47,5.726457724,5.827136512
48,5.743731437,5.813096129
49,5.707937538,6.082076917
50,5.700819758,5.990484320
51,5.705763708,5.571650833
52,5.691233589,5.802339598
53,5.721515720,5.855176780
54,5.688220272,5.572728700
55,5.705627340,5.654158062
56,5.679038836,5.549503852
57,5.707325968,6.027348908
58,5.684633495,5.591685018
59,5.641778390,5.866863256
60,5.688769466,5.693417318
