Epoch,Train Loss,Val Loss
1,14.326169602,14.334259155
2,14.326375444,14.333747085
3,14.326617865,14.333891046
4,14.326750764,14.333866703
5,14.326702642,14.333742429
6,14.326422767,14.333894574
7,14.326777983,14.333840487
8,14.326529225,14.333897357
9,14.326646643,14.333847669
10,14.326480940,14.333962601
11,14.326565640,14.333797688
12,14.326511889,14.333810957
13,14.326413142,14.333881480
14,14.326446612,14.333896467
15,14.326552807,14.333838443
16,14.326443340,14.333845387
17,14.326563128,14.333883592
18,14.326428251,14.333818261
19,14.326309460,14.333917136
20,14.326669411,14.333871987
21,14.326338879,14.333824304
22,14.326277217,14.333858762
23,14.326393580,14.333875389
24,14.326387222,14.333799245
25,14.326400487,14.333813346
26,14.326595032,14.333828269
27,14.326457000,14.333850622
28,14.326365595,14.333838375
29,14.326342214,14.333803211
30,14.326400731,14.333833164
31,14.326507166,14.333828688
32,14.326562211,14.333846389
33,14.326471803,14.333817278
34,14.326308811,14.333831130
35,14.326424521,14.333810519
36,14.326366666,14.333826114
37,14.326429095,14.333856398
38,14.326445859,14.333870012
39,14.326558381,14.333843854
40,14.326597037,14.333828795
41,14.326445367,14.333823973
42,14.326338350,14.333832556
43,14.326538688,14.333833480
44,14.326446042,14.333827617
45,14.326494006,14.333822854
46,14.326509744,14.333827510
47,14.326279113,14.333826576
48,14.326367915,14.333827705
49,14.326383159,14.333825734
50,14.326577790,14.333827739
51,14.326717121,14.333838064
52,14.326285655,14.333828834
53,14.326491510,14.333837407
54,14.326489066,14.333847907
55,14.326517987,14.333851269
56,14.326506401,14.333843392
57,14.326295508,14.333837134
58,14.326243491,14.333834512
59,14.326406770,14.333841178
60,14.326496493,14.333832497
