Epoch,Train Loss,Val Loss
1,14.326791056,14.333809634
2,10.883636284,8.575140009
3,8.431669188,7.891559851
4,6.928105496,5.575959094
5,4.987789085,4.529825561
6,4.944614355,3.876329866
7,4.301341021,3.736017542
8,3.851056396,4.343732727
9,4.150559555,5.729233932
10,3.728705255,3.848861175
11,2.860271247,2.698296211
12,3.028308960,2.745479619
13,2.955267006,2.629825130
14,2.887477138,2.971071411
15,2.990359218,2.610157954
16,2.799613847,2.908624355
17,2.898362965,2.593332765
18,2.700447883,3.340795315
19,2.854653786,2.560983421
20,2.810775480,3.129706063
21,2.565399209,2.415671872
22,2.665709343,8.411238831
23,2.516381894,2.383584347
24,2.613939272,2.892847478
25,2.531810441,3.677571169
26,2.201574426,2.121140734
27,2.160791964,2.098589165
28,2.148290602,2.061177629
29,2.132824951,2.379797714
30,2.087261538,2.003045796
31,2.188383197,1.954983159
32,2.099267844,2.859817505
33,2.096805525,2.122542190
34,2.079008656,2.158789214
35,2.149248065,2.005302123
36,2.089266601,2.189029714
37,2.089281311,2.031823636
38,2.077088778,2.149504036
39,2.058779721,2.093126835
40,2.095658449,2.023498110
41,1.979657367,1.874673196
42,1.927224178,2.263207256
43,1.952788694,2.020010511
44,1.934502790,2.212350040
45,1.900107901,1.850025691
46,1.966132569,2.029567556
47,1.949752091,1.874548163
48,1.896660016,1.823693036
49,1.842400979,1.842341001
50,1.844753712,1.807078733
51,1.989436710,1.889358323
52,1.917717929,1.829547226
53,1.887408806,1.847118392
54,1.857279903,1.835230639
55,1.960139911,1.961067179
56,1.934485009,1.828683815
57,1.879162590,1.873451730
58,1.898078255,1.814334977
59,1.828579868,1.796790322
60,1.812530998,1.826750655
