Epoch,Train Loss,Val Loss
1,14.326778053,14.329758912
2,14.326754370,14.329675319
3,14.326752611,14.329590408
4,14.327652530,14.329614474
5,14.326522047,14.329578293
6,14.326586086,14.329565953
7,13.149778394,8.212952959
8,8.261898875,7.998287004
9,8.188612329,8.458730286
10,8.073841064,8.160415681
11,7.882652847,7.824708236
12,6.549848891,5.579031689
13,5.370676797,5.160025599
14,5.083405447,4.569780381
15,4.675954650,4.181111934
16,4.454485186,3.889807599
17,4.160370320,4.226605775
18,3.923255016,3.783322203
19,3.824497006,3.874463868
20,3.674396374,4.055387561
21,3.563905481,3.238353379
22,3.664541275,3.202315675
23,3.580028497,5.594269295
24,3.525484613,3.088577111
25,3.404066563,5.622019379
26,2.774053914,2.681691308
27,2.864794276,2.662678585
28,2.921342900,2.894125033
29,2.966028026,2.810488616
30,2.852583456,2.607170474
31,2.693083798,2.808475314
32,2.672287634,2.624827117
33,2.652307718,2.485703286
34,2.672479696,2.497741573
35,2.593074106,2.561639240
36,2.625048871,2.466561202
37,2.583127185,2.407571418
38,2.599845339,2.565315643
39,2.553279705,2.402790062
40,2.532752893,2.397166587
41,2.328493772,2.284613722
42,2.332218780,2.255121485
43,2.317084836,2.376956412
44,2.306509527,2.397994237
45,2.291464093,2.311349600
46,2.282234473,2.200356563
47,2.278762218,2.228092451
48,2.257611688,2.366634790
49,2.260861760,2.212166322
50,2.250528732,2.204728170
51,2.248086450,2.183799739
52,2.227807520,2.324315665
53,2.223546364,2.166640044
54,2.230703900,2.135542312
55,2.224150130,2.883804539
56,2.209909054,2.227840746
57,2.192516615,2.121327325
58,2.187809840,2.148188735
59,2.179698598,2.157410651
60,2.184945720,2.139867388
