Epoch,Train Loss,Val Loss
2,517.3798,398.3835
3,141.4424,91.5399
4,80.8513,65.7550
5,62.1043,48.7487
6,49.8591,42.3429
7,28.5825,29.3792
8,27.2684,40.5344
9,26.3609,34.7816
10,24.3602,25.8260
11,23.7187,25.2984
12,16.5039,16.2112
13,16.6892,16.8995
14,16.5549,17.3432
15,15.8370,16.2943
16,15.4123,13.9947
17,14.9862,23.3047
18,14.5496,16.7424
19,14.4311,13.7792
20,14.1467,12.3909
21,13.6377,13.8090
22,13.5826,13.1322
23,13.5443,12.5619
24,13.0443,16.8707
25,13.4166,12.6826
26,12.5714,11.1011
27,10.3099,10.0849
28,10.4870,10.1224
29,10.3684,10.0142
30,10.5191,10.3882
31,10.2831,10.0565
32,10.1955,11.0845
33,10.2696,9.4680
34,9.9783,11.5265
35,9.9918,12.9753
36,9.7970,11.2983
37,9.8893,10.0131
38,9.7777,11.6026
39,9.6978,10.2997
40,9.5591,9.3830
41,9.7298,10.2926
42,9.5066,13.2308
43,9.4674,8.9399
44,9.6386,8.8500
45,9.3831,9.1975
46,9.4179,11.4031
47,9.5300,10.1527
48,9.2868,14.0997
49,9.4994,12.1859
50,9.3011,9.4510
51,9.1512,8.8483
52,9.1896,9.5768
53,9.3852,8.7670
54,9.1602,8.9514
55,9.2406,10.7702
56,9.1075,9.1979
57,9.0668,9.5513
58,9.1480,11.1368
59,9.1162,9.2500
60,9.1572,8.9449
61,9.0787,8.3194
62,8.9250,9.8839
63,9.0849,8.6364
64,8.9491,13.0386
65,9.0857,12.7666
66,8.8947,8.0708
67,8.9934,8.2160
68,8.8597,9.6566
69,9.0373,12.1692
70,8.9098,8.5802
71,8.8893,8.3461
72,8.8768,8.3601
73,8.7430,9.8716
74,8.9101,13.1775
75,8.7970,8.3190
76,8.8117,8.3601
77,8.8408,10.1115
78,8.8326,8.5257
79,8.6951,11.2026
80,8.8094,7.9914
81,8.6956,8.8553
