Same hyperparameters as rerun
Epoch,Train Loss,Val Loss
1,513.1980,716.0615
2,141.0132,132.2481
3,82.2892,71.6222
4,64.8835,56.8463
5,53.3388,60.3506
6,29.1397,27.2409
7,28.0615,25.8884
8,26.6663,23.7734
9,25.1995,31.0209
10,24.0158,24.9673
11,17.0188,16.1273
12,17.0433,16.4104
13,16.7732,15.1049
14,16.5212,15.9442
15,15.7918,14.5031
16,15.6414,17.1439
17,15.0972,13.6510
18,15.0240,17.0393
19,14.5487,15.6866
20,14.0514,13.3919
21,14.3366,16.0446
22,13.6388,16.4787
23,13.6064,11.6117
24,13.1460,14.5258
25,13.1890,14.3966
26,13.1930,13.3212
27,12.9914,11.9978
28,12.6144,10.7502
29,12.6976,12.3432
30,12.6474,16.3081
31,10.1445,9.9624
32,10.4331,10.1618
33,10.3066,10.7380
34,10.3386,10.3440
35,10.4002,9.4424
36,10.3220,12.6732
37,10.0411,11.0862
38,10.0863,10.7868
39,10.1247,9.3465
40,10.0069,10.4416
41,9.9733,9.3854
42,9.8584,11.7297
43,9.8169,9.3014
44,9.9652,13.1053
45,9.7422,11.0174
46,9.7367,10.4374
47,9.7012,10.2553
48,9.7369,9.9532
49,9.6525,10.6076
50,9.6168,9.0008
51,8.6597,9.1561
52,8.7521,10.0781
53,8.7674,8.8058
54,8.7582,8.8192
55,8.7664,8.2839
56,8.7300,11.2759
57,8.6501,9.6386
58,8.6740,8.8795
59,8.6198,8.8120
60,8.7170,8.6824
61,8.6475,8.8422
62,8.6003,8.5972
63,8.5684,8.5019
64,8.6132,8.5709
65,8.5520,9.2814
66,8.4952,8.6288
67,8.5846,8.5499
68,8.5181,8.4991
69,8.4689,8.8626
70,8.4569,8.6560
71,8.5192,8.9202
72,8.4887,9.1912
73,8.4931,8.6283
74,8.3693,8.0396
75,8.3961,9.7228
76,8.4367,8.6844
77,8.3876,8.2751
78,8.3782,8.1619
79,8.3763,9.2330
80,8.2953,8.0337
81,8.3649,8.3436
82,8.3399,8.3511
83,8.2777,8.2677
84,8.2892,8.1047
85,8.2717,9.8262
86,8.2949,10.4671
87,8.2258,8.0053
88,8.2208,8.0003
89,8.1901,8.2878
90,8.1409,9.1214
91,8.1791,8.1374
92,8.1975,7.9041
93,8.2177,8.4262
94,8.0943,8.7834
95,8.1388,8.1123
96,8.1082,8.5150
97,8.1452,8.5039
98,8.0855,9.1705
99,8.1475,8.0802
100,8.1439,7.9774
101,8.0498,8.0034
102,8.0953,8.1000
103,8.1007,8.3456
104,8.1169,8.0527
105,7.9525,7.8565
106,8.0374,8.5159
107,7.9966,8.1151
108,7.9782,7.9757
109,8.0372,8.2363
110,8.0450,7.8033
111,7.9799,8.2691
112,7.9972,8.0002
113,7.9004,8.2730
114,7.9830,9.2307
115,7.9860,7.5907
116,7.9971,8.0457
117,7.9612,9.7428
118,7.9132,8.1646
119,7.9564,7.6813
120,7.9772,8.7572
121,7.9078,7.8552
122,7.9048,7.9716
123,7.8790,7.5754
124,8.0012,7.6001
125,7.8518,8.4248
126,7.9433,8.1974
127,7.8631,8.1387
128,7.9307,7.5836
129,7.8780,7.5817
130,7.9228,8.3574
131,7.8749,8.2971
132,7.8219,7.5962
133,7.8776,8.1713
134,7.8363,7.6654
135,7.7949,7.8498
136,7.8731,8.1439
137,7.8005,8.8045
138,7.8460,8.7822
139,7.7799,8.2726
140,7.7995,7.6225
141,7.7955,7.8333
142,7.7650,7.5058
143,7.9109,7.4104
144,7.7135,8.0733
145,7.7954,7.9859
146,7.7725,7.5894
147,7.7745,9.3190
148,7.8043,7.5105
149,7.7486,7.5182
150,7.7812,8.1614
151,7.8058,8.6651
152,7.7708,9.6143
153,7.7748,7.8711
154,7.7383,8.7038
155,7.7565,7.9063
156,7.7012,7.8424
157,7.7712,7.5630
158,7.7256,7.5249
159,7.6704,8.9725
160,7.7161,7.4411
161,7.7167,8.5129
162,7.6748,7.6202
163,7.6516,7.8552
164,7.6789,7.6838
165,7.7172,7.7116
166,7.6873,7.5305
167,7.6492,7.8784
168,7.6850,9.0741
169,7.6929,7.6397
170,7.6709,7.9226
