Epoch,Train Loss,Val Loss - First run
1,0.0203,0.0093
2,0.0082,0.0087
3,0.0069,0.0064
4,0.0058,0.0111
5,0.0049,0.0049
6,0.0038,0.0038
7,0.0038,0.0038
8,0.0038,0.0037
9,0.0037,0.0036
10,0.0037,0.0036
11,0.0034,0.0035
12,0.0034,0.0035
13,0.0035,0.0035
14,0.0034,0.0035
15,0.0034,0.0034
16,0.0034,0.0037
17,0.0034,0.0036
18,0.0034,0.0034
19,0.0034,0.0034

Epoch,Train Loss,Val Loss
1,0.020294,0.009275
2,0.008161,0.008683
3,0.006858,0.006398
4,0.005752,0.011053
5,0.004943,0.004925
6,0.003846,0.003800
7,0.003808,0.003841
8,0.003803,0.003662
9,0.003740,0.003622
10,0.003710,0.003577
11,0.003432,0.003524
12,0.003443,0.003504
13,0.003454,0.003509
14,0.003436,0.003487
15,0.003425,0.003416
16,0.003423,0.003717
17,0.003418,0.003592
18,0.003404,0.003431
19,0.003395,0.003416
20,0.003380,0.003374
21,0.003382,0.003529
22,0.003378,0.003348
23,0.003371,0.003525
24,0.003379,0.003392
25,0.003362,0.003378
26,0.003353,0.003381
27,0.003357,0.003328
28,0.003343,0.003343
29,0.003346,0.003380
30,0.003343,0.003334
31,0.003246,0.003250
32,0.003250,0.003267
33,0.003254,0.003250
34,0.003249,0.003282
35,0.003251,0.003247
36,0.003245,0.003245
37,0.003246,0.003282
38,0.003242,0.003296
39,0.003239,0.003292
40,0.003237,0.003318
41,0.003229,0.003244
42,0.003232,0.003228
43,0.003234,0.003251
44,0.003228,0.003233
45,0.003223,0.003244
46,0.003223,0.003272
47,0.003219,0.003294
48,0.003216,0.003309
49,0.003210,0.003220
50,0.003210,0.003252
51,0.003151,0.003168
52,0.003141,0.003143
53,0.003132,0.003134
54,0.003113,0.003108
55,0.003098,0.003105
56,0.003083,0.003097
57,0.003069,0.003137
58,0.003058,0.003052
59,0.003043,0.003074
60,0.003030,0.003041
61,0.003027,0.003069
62,0.003010,0.002982
63,0.003007,0.003047
64,0.003004,0.003039
65,0.002994,0.003004
66,0.002993,0.003001
67,0.002990,0.002989
68,0.002982,0.002987
69,0.002977,0.003056
70,0.002977,0.003003
71,0.002975,0.003119
72,0.002964,0.002959
73,0.002962,0.002974
74,0.002962,0.003004
75,0.002958,0.003012
76,0.002963,0.002982
77,0.002956,0.002975
78,0.002946,0.003024
79,0.002944,0.003121
80,0.002943,0.002973
81,0.002938,0.003043
82,0.002943,0.002987
83,0.002937,0.002933
84,0.002932,0.002924
85,0.002935,0.002945
86,0.002927,0.002916
87,0.002926,0.002959
88,0.002926,0.002985
89,0.002926,0.002920
90,0.002929,0.002940
91,0.002922,0.002926
92,0.002920,0.002953
93,0.002917,0.002949
94,0.002916,0.003067
95,0.002917,0.002998
96,0.002917,0.002927
97,0.002906,0.002990
98,0.002913,0.002986
99,0.002912,0.002895
100,0.002909,0.003005
101,0.002901,0.002918
102,0.002907,0.002975
103,0.002902,0.002987
104,0.002900,0.003051
105,0.002902,0.002905
106,0.002901,0.003024
107,0.002897,0.002944
108,0.002903,0.002942
109,0.002896,0.002893
110,0.002892,0.002991
111,0.002895,0.002914
112,0.002894,0.002985
113,0.002889,0.002971
114,0.002893,0.002934
115,0.002889,0.002915
116,0.002885,0.002928
117,0.002890,0.002936
118,0.002888,0.002866
119,0.002885,0.002919
120,0.002885,0.002932
121,0.002887,0.002875
122,0.002886,0.002914
123,0.002879,0.002910
124,0.002890,0.002943
125,0.002884,0.002890
126,0.002881,0.002876
127,0.002880,0.002925
128,0.002877,0.002912
129,0.002876,0.002921
130,0.002878,0.002876
131,0.002878,0.002905
132,0.002872,0.002874
133,0.002868,0.002888
134,0.002872,0.002919
135,0.002874,0.002898
136,0.002878,0.003076
137,0.002867,0.002938
138,0.002866,0.002902
139,0.002873,0.002872
140,0.002869,0.002889
141,0.002869,0.002902
142,0.002866,0.002987
