Epoch,Train Loss,Val Loss
1,515.8094,301.5052
2,140.8062,87.3788
3,80.4395,88.1127
4,61.8182,50.9517
5,48.5371,40.2538
6,27.7137,24.9492
7,26.1853,37.6529
8,25.1044,25.5358
9,23.8803,23.1402
10,22.8536,21.3355
11,16.0008,16.1201
12,16.2743,15.7371
13,15.6734,23.4299
14,15.2399,14.6590
15,15.0040,12.9970
16,14.5119,25.6007
17,14.2037,14.2127
18,14.0266,16.1735
19,13.9258,12.4340
20,13.2586,12.7969
21,13.3921,13.6851
22,13.4189,12.4915
23,12.8573,17.6749
24,12.8193,11.2345
25,12.5502,12.9503
26,12.5558,12.2506
27,12.1990,16.2999
28,11.9577,11.0298
29,12.1145,16.1605
30,11.7908,13.9859
31,9.6859,9.4968
32,9.8858,9.6228
33,9.9521,10.2038
34,9.8702,11.7180
35,9.7491,9.3804
36,9.7114,9.1615
37,9.7051,11.1266
38,9.5894,10.1335
39,9.4396,9.2953
40,9.5516,9.8250
41,9.4212,11.1496
42,9.3986,9.5735
43,9.4338,8.8628
44,9.3389,9.7351
45,9.3488,9.1741
46,9.3986,9.0207
47,9.1612,11.9834
48,9.2921,11.8417
49,9.1469,9.4541
50,9.0797,9.5189
51,9.0609,9.1211
52,9.2261,9.3355
53,8.9810,9.1876
54,9.0949,9.2420
55,8.9787,9.3278
56,8.9678,8.6296
57,9.1171,8.4193
58,8.9405,8.3956
59,8.9806,9.2583
60,8.9538,8.1380
61,8.9326,8.7746
62,8.8675,8.9575
63,8.8663,10.7670
64,8.9307,12.0868
65,8.7979,8.0007
66,8.8918,8.1954
67,8.7130,10.1031
68,8.9366,10.6351
69,8.7058,8.1651
70,8.7999,8.6808
71,8.8373,8.3522
72,8.6132,9.6308
73,8.8197,10.0244
74,8.7290,8.2363
75,8.6969,8.3565
76,8.7384,9.5225
77,8.6998,8.8610
78,8.6404,9.9659
79,8.7235,8.0052
80,8.6145,8.9106
81,8.6713,10.1534
82,8.5575,8.0000
83,8.6862,8.9200
84,8.5688,12.9026
85,8.5906,8.5526
86,8.6401,8.8945
87,8.6268,8.8137
88,8.5888,7.6561
89,8.4831,8.0681
90,8.5884,8.1549
91,8.5357,7.7200
92,8.5017,8.5858
93,8.4621,14.3643
94,8.5032,9.2956
95,8.5818,8.1248
96,8.5558,8.4690
97,8.3125,8.7181
98,8.4478,7.8041
99,8.3946,8.3988
100,8.4729,8.8693
101,8.4720,8.5684
102,8.3837,8.3178
103,8.5016,8.2999
104,8.4530,8.0437
105,8.5169,9.0216
106,8.4068,8.4963
107,8.4320,8.4830
108,8.4637,8.4846
109,8.4404,8.5394
110,8.4175,8.0356
111,8.3170,8.1668
112,8.3744,7.9596
113,8.5108,8.0483
114,8.2925,8.2017
115,8.3901,8.8455
116,8.3550,8.4606
117,8.3920,8.6358
118,8.2748,8.0832
119,8.3756,8.1892
120,8.2332,8.3034
121,8.3957,8.7653
122,8.2797,8.3823
123,8.2575,7.7495
124,8.2889,8.1460
125,8.2250,7.8196
126,8.2951,8.0555
127,8.2395,8.2272
128,8.2222,8.4447
129,8.3366,11.3132
130,8.2981,10.9023
131,8.1873,7.7853
132,8.3460,8.8596
133,8.2878,9.4307
134,8.2481,8.2294
135,8.1704,7.6722
136,8.2978,11.3755
137,8.1802,8.0360
138,8.2499,9.3312
139,8.2830,8.3162
140,8.1427,8.7337
141,8.2423,8.6048
142,8.1499,7.7119
143,8.1908,7.9355
144,8.1712,8.3140
145,8.2565,11.7377
146,8.1842,7.9210
147,8.1393,7.5831
148,8.2597,8.5013
149,8.0477,8.6172
150,8.1362,7.5458
151,8.1590,9.1324
152,8.1467,8.0715
153,8.0649,8.3031
154,8.1697,9.0789
155,8.0994,7.8640
156,8.1091,7.7243
157,8.0924,7.9297
158,8.1337,8.6176
159,8.0585,9.2895
160,8.1226,7.8537
161,8.0982,7.6557
162,8.0600,9.2083
163,8.1563,9.0535
164,8.1664,8.8351
165,8.0237,8.3677
166,8.0837,8.4930
167,8.0852,8.1731
168,8.0545,9.0225
169,7.9778,7.9258
170,7.9425,8.2358

lr = 0.001, milestone: 5, 10, 30, gamma = 0.5
