Epoch,Train Loss,Val Loss
1,517.3798,398.3835
2,141.4424,91.5399
3,80.8513,65.7550
4,62.1043,48.7487
5,49.8591,42.3429
6,28.5825,29.3792
7,27.2684,40.5344
8,26.3609,34.7816
9,24.3602,25.8260
10,23.7187,25.2984
11,16.5039,16.2112
12,16.6892,16.8995
13,16.5549,17.3432
14,15.8370,16.2943
15,15.4123,13.9947
16,14.9862,23.3047
17,14.5496,16.7424
18,14.4311,13.7792
19,14.1467,12.3909
20,13.6377,13.8090
21,13.5826,13.1322
22,13.5443,12.5619
23,13.0443,16.8707
24,13.4166,12.6826
25,12.5714,11.1011
26,12.7065,12.5442
27,12.3707,15.4115
28,12.1161,11.2709
29,12.2959,18.6185
30,11.9706,10.8604
31,9.6803,10.1737
32,9.9733,9.5380
33,9.8952,11.5776
34,9.8837,13.2420
35,9.7263,11.4277
36,9.7769,9.7618
37,9.7019,11.9765
38,9.5836,10.0618
39,9.4752,9.3289
40,9.6341,10.1747
41,9.4085,12.7971
42,9.3960,8.8598
43,9.5592,8.7596
44,9.2992,9.2433
45,9.3575,10.1017
46,9.4402,9.7511
47,9.2229,13.7062
48,9.4338,12.2861
49,9.2248,9.5233
50,9.0894,8.8455
51,8.2256,8.4123
52,8.4053,8.9598
53,8.3520,9.0904
54,8.3134,8.5568
55,8.3432,8.7326
56,8.3558,7.9810
57,8.3186,8.5385
58,8.2988,9.7730
59,8.2893,8.4678
60,8.3223,8.4833
61,8.3194,8.6584
62,8.2618,8.4809
63,8.1710,8.8792
64,8.1765,7.9616
65,8.2321,8.0796
66,8.2207,8.2399
67,8.1337,8.2405
68,8.2462,8.6242
69,8.1526,8.5917
70,8.1317,8.2105
71,8.1488,9.2110
72,8.0729,9.1072
73,8.1187,9.5183
74,8.1277,8.1229
75,8.1023,8.5987
76,8.0289,8.3378
77,8.0479,8.1440
78,8.0903,7.8944
79,8.0308,8.7212
80,8.0095,7.7761
81,8.0665,7.8628
82,8.0067,8.2096
83,8.0093,7.7231
84,7.9659,9.1885
85,8.0299,7.8975
86,7.5420,7.4723
87,7.5838,7.7832
88,7.5994,7.5659
89,7.6180,7.5258
90,7.5788,7.7831
91,7.4061,7.4990
92,7.4187,7.6071
93,7.4086,7.4430
94,7.4131,7.4065
95,7.4021,7.5434
96,7.3956,7.4015
97,7.3968,7.4578
98,7.4033,7.4860
99,7.4004,7.3390
100,7.3846,7.4719
101,7.3838,7.3337
102,7.3795,7.5098
103,7.3685,7.5627
104,7.3640,7.9941
105,7.3787,7.3294
106,7.2481,7.2583
107,7.2564,7.2798
108,7.2590,7.4579
109,7.2676,7.3750
110,7.2564,7.2982
111,7.2063,7.2308
112,7.2053,7.2724
113,7.2021,7.2481
114,7.2012,7.2547
115,7.2076,7.2418
116,7.2005,7.2685
117,7.1976,7.2323
118,7.2059,7.2718
119,7.2010,7.3039
120,7.1909,7.2188
121,7.1936,7.2575
122,7.1915,7.3752
123,7.1931,7.2179
124,7.1933,7.2165
125,7.1909,7.2157
126,7.1870,7.2316
127,7.1900,7.2332
128,7.1878,7.3200
129,7.1827,7.2487
130,7.1842,7.2076
131,7.1855,7.2172
132,7.1781,7.3305
133,7.1822,7.2087
134,7.1821,7.2137
135,7.1758,7.2327
136,7.1419,7.1928
137,7.1478,7.2071
138,7.1444,7.1993
139,7.1433,7.1805
140,7.1441,7.2276
141,7.1314,7.1710
142,7.1299,7.1913
143,7.1262,7.1677
144,7.1267,7.1900
145,7.1287,7.1818
146,7.1276,7.2073
147,7.1254,7.1693
148,7.1254,7.1655
149,7.1260,7.1804
150,7.1224,7.1703
151,7.1244,7.1630
152,7.1241,7.2025
153,7.1232,7.1677
154,7.1205,7.1812
155,7.1254,7.1638
156,7.1207,7.1661
157,7.1214,7.1658
158,7.1215,7.1862
159,7.1198,7.1840
160,7.1226,7.1638
161,7.1121,7.1585
162,7.1091,7.1679
163,7.1108,7.1598
164,7.1129,7.1558
165,7.1116,7.1605
166,7.1094,7.1594
167,7.1109,7.1816
168,7.1088,7.1701
169,7.1119,7.1581
170,7.1094,7.1547
