Epoch,Train Loss,Val Loss
1,517.3798,398.3835
2,141.4424,91.5399
3,80.8513,65.7550
4,62.1043,48.7487
5,49.8591,42.3429
6,28.5825,29.3792
7,27.2684,40.5344
8,26.3609,34.7816
9,24.3602,25.8260
10,23.7187,25.2984
11,16.5039,16.2112
12,16.6892,16.8995
13,16.5549,17.3432
14,15.8370,16.2943
15,15.4123,13.9947
16,14.9862,23.3047
17,14.5496,16.7424
18,14.4311,13.7792
19,14.1467,12.3909
20,13.6377,13.8090
21,13.5826,13.1322
22,13.5443,12.5619
23,13.0443,16.8707
24,13.4166,12.6826
25,12.5714,11.1011
26,12.7065,12.5442
27,12.3707,15.4115
28,12.1161,11.2709
29,12.2959,18.6185
30,11.9706,10.8604
31,12.0353,10.3953
32,11.8626,10.4967
33,11.9337,11.4587
34,11.6507,18.2651
35,11.5373,10.8033
36,11.5241,11.3431
37,11.5652,11.0899
38,11.4026,11.0695
39,11.3924,11.1612
40,11.3347,13.7209
41,8.9877,9.3144
42,9.1697,8.8056
43,9.4697,8.6737
44,9.2782,9.2734
45,9.2876,8.9016
46,9.3687,8.8747
47,9.1430,12.7331
48,9.3638,12.3560
49,9.1435,9.3997
50,9.0414,9.1561
51,9.0443,9.1564
52,9.2699,8.9181
53,9.0462,8.9923
54,9.0847,9.6735
55,8.9949,9.0695
56,8.9575,9.1048
57,9.0796,8.1943
58,8.9319,8.7893
59,9.0074,8.9438
60,8.9254,8.3662
61,8.8163,9.9048
62,8.9386,8.6647
63,8.8161,12.2636
64,8.9330,11.9512
65,8.8095,8.2297
66,8.8271,8.1367
67,8.7122,9.7802
68,8.9050,11.5590
69,8.7664,8.5340
70,8.8170,8.3321
71,8.7720,8.6372
72,8.5749,9.4676
73,8.7958,11.6667
74,8.7035,9.1967
75,8.6700,8.4422
76,8.6958,10.2572
77,8.7048,8.2219
78,8.5719,10.7914
79,8.6437,7.8822
80,8.5794,8.3880

learning rate = 5, 10, 40
