Epoch,Train Loss,Val Loss
1,541.9908,510.3030
2,312.5538,83.7766
3,60.8725,62.2690
4,50.6050,272.9973
5,39.8269,27.7780
6,22.1698,20.4178
7,21.4336,18.6224
8,21.7337,38.4364
9,19.1902,22.3315
10,18.8063,16.5502
11,13.7740,12.6240
12,13.7133,16.5049
13,13.4572,12.9399
14,13.0056,13.4002
15,12.6700,14.0370
16,12.4183,15.1026
17,12.1291,11.4442
18,11.9277,12.8322
19,11.6685,10.9763
20,11.4383,14.2213
21,11.4812,11.2807
22,11.0625,11.0114
23,11.0657,11.1172
24,10.9249,12.9690
25,10.8220,9.8473
26,10.5898,12.4275
27,10.7103,10.2040
28,10.2862,10.4079
29,10.5255,9.5177
30,10.5048,9.5567
31,8.9253,8.9388
32,8.9851,9.5703
33,8.9534,9.6630
34,9.1450,8.7545
35,8.9798,8.4349
36,8.8851,8.8109
37,8.8974,8.6900
38,8.8121,9.6142
39,8.8276,8.3450
40,8.7578,9.8299
41,8.5815,9.1672
42,8.7122,8.5699
43,8.7487,8.5780
44,8.6287,8.5730
45,8.6080,8.3388
46,8.6247,10.6654
47,8.4921,9.1142
48,8.5912,8.7073
49,8.4269,8.5379
50,8.5200,9.3947
51,7.8671,7.8161
52,7.8938,8.0351
53,7.9335,7.8723
54,7.8950,9.0853
55,7.8881,7.9814
56,7.8941,8.0430
57,7.8740,7.9750
58,7.8575,8.3414
59,7.8225,7.9971
60,7.8397,7.9792
61,7.8276,7.9177
62,7.7807,7.6244
63,7.8355,8.6868
64,7.7248,8.4984
65,7.7537,7.6270
66,7.7759,7.9116
67,7.7430,7.8545
68,7.7434,7.9055
69,7.6922,7.3912
70,7.7203,8.0032
71,7.6561,7.5603
72,7.6382,7.8482
73,7.6555,8.2036
74,7.6570,7.9998
75,7.6615,8.0110
76,7.6452,7.6887
77,7.6196,7.9014
78,7.5959,7.4947
79,7.6113,7.6109
80,7.5991,7.7095
81,7.5946,7.9948
82,7.5977,7.4906
83,7.5841,7.7941
84,7.5354,7.6344
85,7.5570,7.8803
86,7.5372,8.0156
87,7.5351,7.6931
88,7.5389,7.5886
89,7.5053,7.4971
90,7.5514,7.9539
91,7.5504,7.6468
92,7.4589,7.5032
93,7.4872,7.2364
94,7.4909,7.3586
95,7.4435,7.9202
96,7.4475,7.3765
97,7.4715,7.7615
98,7.4961,7.5013
99,7.4782,7.4843
100,7.4263,7.5052
101,7.4631,7.7270
102,7.3992,8.3435
103,7.4407,7.2244
104,7.4518,8.1496
105,7.4460,7.3741
106,7.0882,7.6195
107,7.1173,7.2406
108,7.1298,7.3936
109,7.1331,7.1305
110,7.1534,7.1481
111,6.9684,6.9890
112,6.9795,7.0129
113,6.9808,7.0255
114,6.9732,7.1231
115,6.9719,6.9279
116,6.9811,7.1360
117,6.9726,7.0012
118,6.9893,7.0154
119,6.9733,6.9455
120,6.9463,6.9383
121,6.9675,7.1871
122,6.9641,7.0683
123,6.9430,6.9375
124,6.9628,6.9843
125,6.9564,6.9717
126,6.9412,7.0869
127,6.9605,6.9739
128,6.9583,6.9232
129,6.9185,6.9663
130,6.9413,7.0418
131,6.8587,6.8821
132,6.8516,6.8477
133,6.8574,6.9170
134,6.8535,6.8677
135,6.8494,6.8702
136,6.8476,6.9291
137,6.8554,6.8878
138,6.8368,6.8992
139,6.8456,6.8682
140,6.8458,6.8561
141,6.8507,6.8538
142,6.8369,6.9373
143,6.8550,6.8966
144,6.8428,6.8885
145,6.8304,6.8758
146,6.8450,6.9223
147,6.8347,6.8912
148,6.8404,6.8985
149,6.8363,6.8404
150,6.8321,6.8859
