Epoch,Train Loss,Val Loss
2,3048.0814,3041.9717
3,3046.9939,3041.8632
4,3046.7887,3041.9473
5,3046.8177,3041.8813
6,3046.7367,3041.8875
7,3046.9611,3041.8655
8,3046.8016,3041.8672
9,3046.9284,3041.8609
10,3046.9816,3041.8631
11,3046.7106,3041.8619
12,3046.9008,3041.8628
13,3047.1119,3041.8608
14,3046.7392,3041.8688
15,3047.0001,3041.8787
16,3046.7859,3041.8625
17,3046.9354,3041.8669
18,3046.7491,3041.8775
Epoch,Train Loss,Val Loss
2,610.3895,516.7574
3,515.7991,513.8986
4,514.6663,518.8256
5,514.3860,512.0840
6,514.0282,527.3316
7,512.4072,511.5478
8,512.2664,515.3607
9,512.1819,510.9113
