Epoch,Train Loss,Val Loss
2,1425.5850,584.1614
3,523.7403,531.8712
4,517.5286,513.7195
5,515.7170,517.4183
6,515.4448,514.5559
7,513.1268,513.0057
8,513.7019,509.2483
9,514.4026,515.0310
10,513.8373,518.3944
11,515.6869,524.6625
12,514.6392,513.7497
13,512.4169,508.7204
14,513.6146,510.4442
15,512.9381,514.9249
16,512.4106,513.9617
17,514.8675,507.8619
18,511.5447,509.4733
19,511.2648,510.4535
20,511.3075,509.1967
21,513.0975,510.3512
22,512.6421,512.1529
23,512.6650,508.6089
24,512.0092,508.6285
25,512.7297,514.8125
26,513.7488,509.6816
27,511.2236,509.4330
28,511.8010,508.3785
29,512.2071,510.6711
30,511.6281,510.9958
31,512.3819,508.1464
32,511.0835,507.8073
33,511.9239,508.9940
34,511.5354,509.9059
35,511.0210,507.9579
36,510.8537,509.7029
37,511.2332,508.0092
38,511.6643,509.7632
39,511.0198,508.8894
40,512.1162,508.0800
41,512.0575,509.5445
42,512.1926,508.9963
43,511.2556,509.6821
44,511.7495,508.2650
45,511.5408,508.8679
46,510.8834,509.7142
47,512.5647,508.1979
48,510.7029,507.8576
49,511.3944,508.0100
50,512.1106,508.8838
51,510.5965,509.0208
52,510.9561,509.2221
53,511.6724,508.6673
54,512.0259,508.3625
55,512.0601,508.1375
56,510.9796,508.5639
57,512.4458,508.1443
58,510.9915,508.6629
59,510.4192,508.7591
60,511.4205,508.3453
61,510.2661,508.4415
62,512.0725,508.6028
63,512.0586,508.3947
64,512.4276,508.1406
65,511.3703,508.7847
66,512.4933,507.9922
67,511.0016,509.3612
68,510.8239,508.7336
69,511.3116,509.5346
70,511.6213,511.1271
71,511.7733,511.7558
72,513.2914,508.3030
73,511.0065,508.8397
74,511.4462,509.8036
75,511.7401,508.4512
76,511.8927,509.3232
77,510.4049,509.3532
78,511.3540,509.2443
79,511.8194,508.0643
80,511.1651,510.6419
81,510.4579,507.9923
