Epoch,Train Loss,Val Loss
1,1.671103667,1.500708918
2,1.510553658,1.658526251
3,0.121817780,0.071256122
4,0.071146864,0.070604949
5,0.069802825,0.068827313
6,0.069610446,0.068892495
7,0.068423750,0.071896150
8,0.068128978,0.067120308
9,0.067875465,0.066375086
10,0.067510007,0.069495363
11,0.064551860,0.064643271
12,0.065185598,0.065008145
13,0.065108266,0.066605339
14,0.065067069,0.064395516
15,0.064981452,0.064589247
16,0.064939494,0.064627398
17,0.064960224,0.064924677
18,0.064898436,0.064467656
19,0.064822036,0.064427009
20,0.064778459,0.064527554
21,0.064021595,0.064311698
22,0.064121138,0.063999074
23,0.064081396,0.063883183
24,0.064066283,0.064079928
25,0.064028869,0.064047528
26,0.063972036,0.063800445
27,0.063932708,0.063767974
28,0.063864670,0.063463839
29,0.011696538,0.006691861
30,0.006380737,0.006664100
31,0.006043612,0.006078372
32,0.006051720,0.006053267
33,0.006043481,0.006203840
34,0.006023218,0.006126616
35,0.006003916,0.006239061
36,0.005998395,0.006082908
37,0.005984549,0.006227563
38,0.005976290,0.006007730
39,0.005968214,0.006124074
40,0.005964676,0.005999654
41,0.005951397,0.006005474
42,0.005961917,0.006083324
43,0.005939254,0.006031352
44,0.005941221,0.006206741
45,0.005925568,0.006051291
46,0.005924936,0.006001111
47,0.005917020,0.006028809
48,0.005913089,0.006245895
49,0.005919794,0.006160817
50,0.005909587,0.006041442
