Epoch,Train Loss XY, Val Loss XY, Train Loss Z, Val Loss Z
1,0.011399018,0.006634883,0.031379808,0.027944838
2,0.004634649,0.005122710,0.027811470,0.027855081
3,0.004496645,0.005363227,0.027704892,0.027879061
4,0.004343009,0.005204854,0.027392341,0.026646195
5,0.004392815,0.005159196,0.026087407,0.024497387
6,0.004310826,0.005080648,0.025155387,0.026461370
7,0.004305825,0.005283853,0.024786093,0.029040102
8,0.004290892,0.005090882,0.024678451,0.024054284
9,0.004267153,0.005277920,0.024407925,0.024247556
10,0.004244945,0.005595608,0.024396570,0.024509968
11,0.004232354,0.005159047,0.024393566,0.024071737
12,0.004236297,0.005022763,0.024292167,0.023901365
13,0.004211907,0.005148597,0.024110951,0.025332036
14,0.004204790,0.005104030,0.024189220,0.024313156
15,0.004202483,0.005129132,0.024198526,0.024067333
16,0.004201112,0.004990904,0.024101633,0.024107057
17,0.004189932,0.004969842,0.024107679,0.023993739
18,0.004186138,0.005190560,0.023988001,0.023537899
19,0.004182967,0.004977679,0.024002693,0.024655745
20,0.004177227,0.005258580,0.023938418,0.023556968
21,0.004170425,0.005116114,0.023920066,0.023814016
22,0.004171907,0.005012743,0.023883308,0.023621018
23,0.004162774,0.005080375,0.023881002,0.023743540
24,0.004160708,0.005351856,0.023872040,0.025236411
25,0.004151577,0.005135904,0.023900282,0.023895342
26,0.004153338,0.005203602,0.023834134,0.024231043
27,0.004147205,0.004971467,0.023859743,0.024324765
28,0.004141712,0.004923358,0.023844764,0.024642558
29,0.004145210,0.004988497,0.023829696,0.023756327
30,0.004141738,0.005112971,0.023780589,0.024930106
31,0.004135758,0.005253184,0.023857569,0.023696078
32,0.004127489,0.005062273,0.023758309,0.024939696
33,0.004128719,0.004972048,0.023741723,0.024842358
34,0.004123840,0.005016044,0.023798800,0.023898162
35,0.004126068,0.004970160,0.023773116,0.024110068
36,0.004122495,0.005025956,0.023761183,0.023616290
37,0.004125652,0.005120225,0.023698583,0.025125493
38,0.004112786,0.004933909,0.023742211,0.023780378
39,0.004111917,0.005013273,0.023724009,0.024299778
40,0.004113829,0.004945770,0.023725995,0.024258601
41,0.004111812,0.005030213,0.023681544,0.024062914
42,0.004104884,0.004963640,0.023698522,0.023426757
43,0.004105943,0.004948760,0.023625182,0.023906873
44,0.004111010,0.005086106,0.023678539,0.023635166
45,0.004096034,0.005025591,0.023668593,0.023502939
46,0.004099869,0.004891245,0.023653298,0.023753006
47,0.004094826,0.004899965,0.023678284,0.023542307
48,0.004102925,0.005021643,0.023665547,0.025711046
49,0.004086288,0.005041794,0.023630308,0.023641614
50,0.004094946,0.004897522,0.023655001,0.023695778
51,0.004086848,0.004876778,0.023644406,0.023443035
52,0.004081027,0.005009042,0.023656118,0.023329066
53,0.004073639,0.004897863,0.023578467,0.023391050
54,0.004072248,0.004949461,0.023582083,0.024327433
55,0.004054801,0.004962533,0.023625419,0.023479653
56,0.004030767,0.005219008,0.023581150,0.023740392
57,0.004019618,0.004810983,0.023615592,0.023636829
58,0.004003490,0.004973627,0.023595259,0.023621270
59,0.003980536,0.004783701,0.023604096,0.023703138
60,0.003947769,0.004674308,0.023558381,0.023427635
61,0.003954592,0.004932567,0.023560241,0.023531415
62,0.003961597,0.004985073,0.023573471,0.023926603
63,0.003995875,0.004962219,0.023515413,0.023859209
64,0.003952187,0.004856882,0.023513742,0.023914586
65,0.003943724,0.004980321,0.023537201,0.024176280
66,0.003943571,0.004698366,0.023566542,0.023474442
67,0.003932757,0.004965146,0.023490295,0.023477607
68,0.003947897,0.004794077,0.023519461,0.023395393
69,0.003901616,0.004559096,0.023503617,0.023438897
70,0.003905854,0.004899134,0.023523962,0.023397835
71,0.003906666,0.004819959,0.023566326,0.023695071
72,0.003965556,0.005011639,0.023539170,0.023429347
73,0.003904376,0.004929192,0.023553640,0.023390075
74,0.003898212,0.004803383,0.023493200,0.023349322
75,0.003800713,0.004649981,0.023503313,0.023484962
76,0.003719441,0.004546152,0.023491441,0.023333187
77,0.003624208,0.004205561,0.023496703,0.023952244
78,0.003490066,0.004841499,0.023510808,0.023774449
79,0.003490476,0.004610316,0.023501685,0.023646836
80,0.003500041,0.003902653,0.023465807,0.023322221
81,0.003354298,0.004086832,0.023505385,0.023416919
82,0.003376204,0.004185364,0.023505380,0.024848894
83,0.003252915,0.003807787,0.023494461,0.023317977
84,0.003232175,0.003964764,0.023503066,0.024104492
85,0.003187835,0.003889944,0.023484412,0.023582007
86,0.003193029,0.003876687,0.023485558,0.023299892
87,0.003152506,0.004506223,0.023479743,0.023417425
88,0.003179517,0.003683627,0.023444957,0.023593676
89,0.003147282,0.003978957,0.023484111,0.023303743
90,0.003112075,0.003685682,0.023466414,0.023553274
91,0.003118581,0.004057762,0.023450383,0.023708360
92,0.003096542,0.003830466,0.023455318,0.023692604
93,0.003107708,0.003672729,0.023432276,0.024087729
94,0.003088849,0.004151651,0.023457682,0.023529322
95,0.003077420,0.003736874,0.023433672,0.023512001
96,0.003084521,0.003518613,0.023468548,0.023429286
97,0.003097099,0.003982142,0.023426316,0.023450884
98,0.003060365,0.003860844,0.023464516,0.023373350
99,0.003083243,0.004251552,0.023461152,0.023466361
100,0.003059151,0.003659003,0.023451443,0.023562225
101,0.003045466,0.003704623,0.023417934,0.023318122
102,0.003044564,0.003545119,0.023443392,0.023649911
103,0.003044379,0.004102568,0.023458968,0.024030818
104,0.003044658,0.003769673,0.023419132,0.023679111
105,0.003030749,0.003527520,0.023413982,0.023337778
106,0.003013189,0.003782947,0.023451947,0.023398635
107,0.003020364,0.003778143,0.023462943,0.023553614
108,0.002994058,0.003746058,0.023431777,0.023363792
109,0.002994760,0.003409136,0.023417739,0.023765039
110,0.003005942,0.003741802,0.023391583,0.024007654
111,0.002995635,0.003697934,0.023422761,0.023874939
112,0.002967055,0.003851612,0.023400182,0.023389566
113,0.002990563,0.003525627,0.023392327,0.023863369
114,0.002989284,0.003568292,0.023418631,0.024060553
115,0.002979038,0.003416952,0.023416305,0.023645045
116,0.002970082,0.003873930,0.023408144,0.023924506
117,0.002982653,0.003528654,0.023384453,0.023502723
118,0.002958109,0.003610993,0.023380417,0.023466408
119,0.002956053,0.003510005,0.023380378,0.023548292
120,0.002962419,0.003600680,0.023401848,0.023412434
121,0.002955960,0.003634658,0.023371391,0.023717802
122,0.002959672,0.003430569,0.023377328,0.023235698
123,0.002941649,0.003804628,0.023381109,0.023668829
124,0.002921749,0.003958591,0.023365085,0.023250405
125,0.002924695,0.003702437,0.023392460,0.023383943
126,0.002947210,0.003544746,0.023416341,0.023318488
127,0.002940024,0.003504513,0.023384595,0.023639270
128,0.002931710,0.003477026,0.023393345,0.023644282
129,0.002942483,0.003460401,0.023372955,0.023404906
130,0.002915632,0.004503425,0.023380088,0.023609060
131,0.002927511,0.003669280,0.023408609,0.023657423
132,0.002929683,0.003926187,0.023359096,0.023301324
133,0.002917709,0.003769716,0.023411904,0.023598896
134,0.002912115,0.003537070,0.023355771,0.023861654
135,0.002921079,0.003861480,0.023342990,0.023309823
136,0.002906519,0.003405115,0.023374828,0.023493141
137,0.002918833,0.003444659,0.023390327,0.024126052
138,0.002905164,0.003343571,0.023375480,0.023374679
139,0.002910533,0.003416741,0.023354932,0.023821047
140,0.002913997,0.003605213,0.023365103,0.023324495
141,0.002900874,0.003465919,0.023355293,0.023712941
142,0.002909471,0.003366338,0.023334432,0.023456025
143,0.002904982,0.003630802,0.023388823,0.023375099
144,0.002890239,0.003467597,0.023356190,0.023509367
145,0.002885246,0.003603167,0.023329323,0.023313706
146,0.002899642,0.003628834,0.023375224,0.023312886
147,0.002890857,0.003799501,0.023336882,0.023330933
148,0.002894256,0.004028041,0.023387392,0.023323114
149,0.002875736,0.003639122,0.023368146,0.023552026
150,0.002884829,0.003681025,0.023340787,0.023449732
151,0.002890059,0.003495809,0.023359048,0.023437373
152,0.002872437,0.003744214,0.023348986,0.023293742
153,0.002874968,0.003396236,0.023375280,0.023414869
154,0.002872937,0.003450250,0.023318328,0.023274711
155,0.002883433,0.003316988,0.023345541,0.023479585
156,0.002882474,0.003381267,0.023312023,0.024119025
157,0.002871503,0.003777736,0.023309519,0.023275524
158,0.002856317,0.003687044,0.023356921,0.023413938
159,0.002868067,0.003529061,0.023335947,0.023289503
160,0.002862987,0.003394943,0.023326147,0.024014558
161,0.002862709,0.003359766,0.023330763,0.023516699
162,0.002871640,0.003467529,0.023304687,0.023254936
163,0.002845996,0.003554205,0.023323198,0.023441162
164,0.002867945,0.003982396,0.023325099,0.023481897
165,0.002855803,0.003534695,0.023314555,0.023576091
166,0.002858086,0.003292311,0.023345809,0.023293922
167,0.002861653,0.003336846,0.023329578,0.023284424
168,0.002852098,0.003504315,0.023318326,0.023852676
169,0.002856907,0.003477685,0.023296787,0.023492815
170,0.002858452,0.003837357,0.023330665,0.023370229
171,0.002841550,0.003944967,0.023325215,0.023429904
172,0.002853275,0.003620218,0.023314413,0.023458952
173,0.002828934,0.003318656,0.023329988,0.023589121
174,0.002844947,0.003300880,0.023353134,0.023636716
175,0.002843697,0.003799121,0.023323536,0.023854464
176,0.002855324,0.003418804,0.023318968,0.023348149
177,0.002843744,0.003577881,0.023320174,0.023368540
178,0.002836595,0.003353297,0.023309436,0.023277182
179,0.002838007,0.003302189,0.023295973,0.023499193
180,0.002825105,0.003438980,0.023307941,0.023392268
181,0.002842943,0.003430829,0.023318336,0.023325208
182,0.002835320,0.003502219,0.023314015,0.023503314
183,0.002836736,0.003596504,0.023294008,0.023284568
184,0.002837498,0.003760555,0.023306211,0.023422558
185,0.002823421,0.003538119,0.023294041,0.023294002
186,0.002834755,0.003498846,0.023281464,0.023722679
187,0.002824643,0.003403570,0.023287071,0.023588566
188,0.002821768,0.003275378,0.023279699,0.023651626
189,0.002831333,0.003656464,0.023300299,0.023488969
190,0.002826314,0.003452411,0.023288379,0.023347741
191,0.002821876,0.003344179,0.023307036,0.023301986
192,0.002827347,0.004101985,0.023290269,0.023392655
193,0.002815885,0.003434614,0.023298861,0.023279441
194,0.002812803,0.003421078,0.023283666,0.023384207
195,0.002821256,0.003424969,0.023313896,0.023331699
196,0.002825989,0.003410304,0.023316288,0.023523095
197,0.002825437,0.003435625,0.023254940,0.023292012
198,0.002807660,0.003579251,0.023287214,0.023279100
199,0.002822913,0.003691253,0.023274372,0.023512076
200,0.002803673,0.003358680,0.023280740,0.023507927
201,0.002811095,0.003808722,0.023270060,0.023346409
202,0.002808317,0.003594736,0.023297352,0.023382575
203,0.002805665,0.003483620,0.023273968,0.023289018
204,0.002813279,0.003654616,0.023291879,0.023909188
205,0.002815290,0.003646345,0.023258576,0.023340187
206,0.002812165,0.003404556,0.023288520,0.023511056
207,0.002803737,0.003566452,0.023279754,0.023707030
208,0.002815162,0.003751052,0.023285146,0.023439679
209,0.002800192,0.003675117,0.023269366,0.023359432
210,0.002799283,0.003407965,0.023243902,0.023473011
211,0.002803357,0.003444404,0.023280249,0.023363402
212,0.002793941,0.003497457,0.023238926,0.023407121
213,0.002797097,0.003447680,0.023272527,0.023399971
214,0.002798289,0.003266905,0.023256074,0.023342666
215,0.002796225,0.003600230,0.023261317,0.023269929
216,0.002796631,0.003262415,0.023273566,0.023357907
217,0.002795887,0.003595033,0.023258197,0.023265275
218,0.002797089,0.003593339,0.023240670,0.023343620
219,0.002789744,0.003303624,0.023251341,0.023388026
220,0.002794284,0.003354419,0.023241650,0.023547021
221,0.002794851,0.003440419,0.023251139,0.023275968
222,0.002797192,0.003641946,0.023244503,0.023485240
223,0.002797408,0.003744025,0.023243979,0.023428425
224,0.002781180,0.003604208,0.023247901,0.023363129
