Epoch,Train Loss XY, Val Loss XY, Train Loss Z, Val Loss Z
1,0.011372400,0.004566405,0.031697615,0.028561551
2,0.004504182,0.004166484,0.027818285,0.028709201
3,0.004432011,0.004049820,0.027750686,0.028530393
4,0.004374169,0.004021606,0.027474700,0.029255318
5,0.004297666,0.004197975,0.026721058,0.026613867
6,0.004301959,0.004117767,0.026181272,0.026916759
7,0.004284132,0.004173710,0.025891204,0.026779095
8,0.004275600,0.004168146,0.025861719,0.027157881
9,0.004244708,0.004070111,0.025686656,0.027224019
10,0.004218868,0.004159083,0.025720289,0.027105302
11,0.004230583,0.004051881,0.025599507,0.026300678
12,0.004221884,0.003976528,0.025570084,0.026310421
13,0.004205177,0.004161156,0.025537657,0.026235401
14,0.004198357,0.004017418,0.025572253,0.026812328
15,0.004191729,0.004006422,0.025510302,0.026324045
16,0.004179993,0.004293531,0.025475250,0.026112026
17,0.004183676,0.004475631,0.025419058,0.026366199
18,0.004183987,0.004131771,0.025439588,0.026796383
19,0.004159432,0.004298051,0.025400336,0.025891199
20,0.004171374,0.004070827,0.025397937,0.026294964
21,0.004171042,0.003981513,0.025389788,0.026598897
22,0.004152574,0.004089431,0.025367103,0.026399332
23,0.004152055,0.004126676,0.025375761,0.026328458
24,0.004150599,0.004124442,0.025312226,0.025933834
25,0.004133574,0.004240656,0.025332277,0.026034445
26,0.004139385,0.004066108,0.025289735,0.026449496
27,0.004141380,0.004000669,0.025285857,0.026259912
28,0.004131128,0.004037012,0.025306056,0.026263648
29,0.004130093,0.003974233,0.025304881,0.026130331
30,0.004133951,0.004084251,0.025288012,0.026020264
31,0.004125703,0.003995973,0.025269918,0.025927510
32,0.004124598,0.004018700,0.025246136,0.025745590
33,0.004112412,0.003995118,0.025251822,0.027507431
34,0.004119657,0.004013397,0.025226472,0.026151162
35,0.004116720,0.003991460,0.025215409,0.026028718
36,0.004111787,0.004012198,0.025223959,0.026152550
37,0.004108742,0.004034175,0.025232157,0.026008866
38,0.004115858,0.003977992,0.025214721,0.026045324
39,0.004105033,0.004218140,0.025210700,0.026460362
40,0.004100999,0.004015174,0.025191314,0.026073929
41,0.004106925,0.003994323,0.025208761,0.026219888
42,0.004098259,0.003960098,0.025207405,0.025979379
43,0.004100740,0.004031459,0.025168843,0.025959009
44,0.004105033,0.004014946,0.025234539,0.026055927
45,0.004099523,0.003995589,0.025153857,0.026041154
46,0.004091211,0.003946127,0.025187056,0.025980608
47,0.004078614,0.004015014,0.025135072,0.026183183
48,0.004078410,0.004084644,0.025174787,0.025985362
49,0.004069566,0.003971621,0.025149441,0.027138314
50,0.004059468,0.003920613,0.025179062,0.025916736
51,0.004055010,0.003939767,0.025169502,0.026195756
52,0.004036667,0.003910244,0.025137805,0.025949646
53,0.004032020,0.003911634,0.025148465,0.026093904
54,0.004011330,0.004064539,0.025107117,0.025903940
55,0.003989216,0.003910144,0.025124175,0.026177445
56,0.003965584,0.003953159,0.025171464,0.025974237
57,0.003936199,0.003854232,0.025099402,0.026965975
58,0.003924510,0.003908839,0.025140541,0.025882518
59,0.003904059,0.003828944,0.025104888,0.025918530
60,0.003882125,0.003772270,0.025142584,0.025932529
61,0.003851729,0.003643401,0.025126626,0.026147176
62,0.003825002,0.003737424,0.025116557,0.025817107
63,0.003820590,0.003703342,0.025131209,0.025891995
64,0.003807831,0.003669189,0.025102389,0.026292992
65,0.003792987,0.003760456,0.025103110,0.025907646
66,0.003745560,0.003827797,0.025145654,0.026134965
67,0.003728486,0.003647089,0.025091030,0.026522375
68,0.003718521,0.003738999,0.025109347,0.025939243
69,0.003719214,0.003688883,0.025122605,0.025928666
70,0.003701126,0.004090727,0.025047448,0.026640907
71,0.003689629,0.003554585,0.025118986,0.026529314
72,0.003684460,0.003841701,0.025072500,0.025878448
73,0.003669357,0.003550865,0.025093768,0.025957212
74,0.003646084,0.003681408,0.025084619,0.025798866
75,0.003635781,0.003656418,0.025091856,0.025957714
76,0.003629536,0.003522485,0.025102670,0.026020277
77,0.003621076,0.003522516,0.025091094,0.025975614
78,0.003625872,0.003546220,0.025085449,0.025976804
79,0.003606793,0.003512231,0.025066740,0.025782815
