Epoch,Train Loss XY, Val Loss XY, Train Loss Z, Val Loss Z
1,0.010881343,0.004349846,0.029625225,0.028858688
2,0.004570523,0.004221772,0.027874753,0.028773381
3,0.004467042,0.004138707,0.027783493,0.028557166
4,0.004396716,0.004162092,0.027640501,0.028561518
5,0.004331198,0.004290305,0.027334277,0.028905660
6,0.004291964,0.004076692,0.026481501,0.027694382
7,0.004269343,0.004128626,0.025879311,0.028416442
8,0.004239360,0.004099392,0.025668678,0.026608998
9,0.004209357,0.004058588,0.025583212,0.025884424
10,0.004203424,0.004115135,0.025571646,0.026378339
11,0.004181446,0.004194472,0.025483338,0.026518400
12,0.004174151,0.004142480,0.025515039,0.026828838
13,0.004162849,0.004189049,0.025440312,0.026914445
14,0.004157713,0.003963867,0.025436036,0.026298350
15,0.004156976,0.004090285,0.025439920,0.026304499
16,0.004132275,0.004262132,0.025351411,0.025897099
17,0.004142818,0.004083463,0.025365653,0.026385013
18,0.004134552,0.003958410,0.025407035,0.027255996
19,0.004130345,0.003979209,0.025325902,0.026078457
20,0.004136270,0.004001419,0.025369660,0.026237422
21,0.004121042,0.004030054,0.025294834,0.027273983
22,0.004123361,0.004073485,2.894455205,0.027895292
23,0.004122257,0.004358873,0.026605393,0.027176388
24,0.004114379,0.003957277,0.025760208,0.026388079
25,0.004105810,0.004525974,0.025475530,0.027096368
26,0.004099859,0.004145777,0.025403291,0.026415057
27,0.004085669,0.004070285,0.025365546,0.026297130
28,0.004080838,0.004211494,0.025378968,0.026418398
29,0.004039537,0.004005510,0.025397870,0.026407358
30,0.004014596,0.003806895,0.025418237,0.026667809
31,0.003993035,0.003921492,0.025486336,0.026302287
32,0.003956803,0.003997764,0.025574572,0.026024413
33,0.003926578,0.003892752,0.025552250,0.027404811
34,0.003875872,0.004342773,0.025643343,0.026125840
35,0.008777428,0.004126740,0.025596478,0.026983665
36,0.004235879,0.004253210,0.025743584,0.026343646
37,0.005653936,0.004275239,0.025600775,0.026065233
38,0.004342369,0.004152491,0.025638722,0.025970606
39,0.004268222,0.004032024,0.025686704,0.027075668
40,0.004267602,0.004443700,0.025513098,0.026779873
41,0.004254692,0.004064158,0.025479440,0.026187613
42,0.004247063,0.004100057,0.025445140,0.026036737
43,0.004257054,0.004043292,0.025427840,0.025962747
44,0.004232380,0.004104172,0.025416083,0.026359578
45,0.004188088,0.004013571,0.025357611,0.026223391
46,82499.614203177,0.024367489,0.025406223,0.025954683
47,0.020237071,0.017390589,0.025291602,0.026117089
48,0.015732982,0.014070896,2.720092398,0.029612550
49,0.012516555,0.011408642,0.027593544,0.038838168
50,0.009382416,0.008032427,0.026803480,0.027477022
51,0.007646245,0.006724069,0.026129531,0.026324445
52,0.006586165,0.006230960,0.025621959,0.026171852
53,0.005764999,0.004793489,0.025324373,0.025965987
54,0.005210705,0.005261581,0.025267668,0.026242962
55,0.005167007,0.004370062,0.025296847,0.027234980
56,0.004977981,0.004393007,0.025337898,0.026249699
57,0.004777822,0.005305735,0.025314898,0.026049983
58,0.004667022,0.004425493,0.025350075,0.026227121
59,0.004543057,0.004472954,0.025494700,0.026419104
60,0.004461765,0.004215319,0.025506014,0.025964848
61,0.004397239,0.004200322,0.025524149,0.026068147
62,0.004326624,0.004115655,0.025491284,0.026654608
63,0.004275264,0.004179324,0.025462039,0.026847604
64,0.004273656,0.004100706,0.025389802,0.026790159
65,0.004228519,0.004252767,0.025355244,0.026300587
66,0.004209128,0.004112509,0.025425059,0.026084577
67,0.004184724,0.003960768,0.025334662,0.026329095
68,0.004175374,0.004049381,0.025357637,0.026035633
69,0.004156617,0.004108140,0.025337043,0.026091756
70,0.004137212,0.004494085,0.025310655,0.026452147
71,0.004129501,0.004019192,0.025359882,0.026594343
72,0.004120361,0.004132193,0.025314879,0.025953495
73,0.004113785,0.003956107,0.025260498,0.025840587
74,0.004110166,0.004036976,0.025288393,0.026142598
75,0.004179504,0.004187326,0.025237811,0.026872662
76,0.004113556,0.004058883,0.025256420,0.026226063
77,0.004074871,0.003842323,0.025242186,0.026303072
78,0.004045794,0.004287039,0.025214032,0.025861752
79,0.004007554,0.003990215,0.025199233,0.026129469
80,0.003971863,0.003908782,0.025202082,0.026133301
81,0.003979049,0.004355636,0.025193293,0.026079397
82,9.641120263,0.056644369,0.025241190,0.026122085
83,0.010756608,0.005462486,0.231655648,0.029181738
84,0.005069537,0.004670914,0.027824286,0.028642816
85,0.004645163,0.004491516,0.027108045,0.027474019
86,0.004472520,0.004253930,0.026331690,0.028042764
87,0.004403848,0.004422692,0.025689401,0.026276803
88,0.004347828,0.004172671,0.025404523,0.026139673
89,0.004300530,0.004176743,0.025297355,0.026188932
90,0.004257900,0.004084234,0.025337349,0.026318614
91,0.004187940,0.004084546,0.025367254,0.026360176
92,0.004136071,0.003889784,0.025747478,0.026377670
93,0.004056752,0.003852222,0.025446386,0.026081155
94,0.003985887,0.003999147,0.025526995,0.026696643
95,0.003942389,0.003852822,0.025462066,0.026183490
96,0.003924561,0.003778363,0.025481785,0.026766813
97,0.003896899,0.003957950,0.025377394,0.026026639
98,0.003910212,0.004092500,0.025360256,0.026252875
99,0.003934652,0.003901819,0.025335401,0.026910994
100,0.003938567,0.004037661,0.025342412,0.026100811
101,0.003717243,0.003606891,0.025076321,0.025951950
102,0.004143784,0.003846749,0.025073267,0.025808681
103,0.003842704,0.003789728,0.025094742,0.026116390
104,0.003745570,0.003757037,0.025099836,0.026320635
105,0.003725903,0.003636274,0.025057339,0.025936714
106,0.003713367,0.003558171,0.025064351,0.025780251
107,0.003691650,0.003543669,0.025079218,0.025891983
108,0.003676818,0.003523829,0.025063301,0.025921645
109,0.003664692,0.003635873,0.025034452,0.025919860
110,0.003655070,0.003566082,0.025028185,0.026335216
111,0.003639048,0.003494374,0.025032956,0.026194820
112,0.003629704,0.003643046,0.025039243,0.025921932
113,0.003618262,0.003555720,0.025068559,0.025825416
114,0.003606401,0.003458944,0.025013942,0.025788623
115,0.003598084,0.003592716,0.025041747,0.025965661
116,0.003595218,0.003419179,0.025053304,0.026133889
117,0.003585117,0.003575647,0.025043959,0.026067113
118,0.003806285,0.003663375,0.025018662,0.025877956
119,0.003650693,0.003464232,0.025023818,0.025764903
120,0.003574528,0.003595310,0.025014928,0.025848813
121,0.003588324,0.003419443,0.025029722,0.025799583
122,0.003573919,0.003396682,0.025027040,0.025816251
123,0.003567429,0.003548906,0.025026770,0.025861774
124,0.003560615,0.003426576,0.025006195,0.025823191
125,0.003555558,0.003570369,0.025029363,0.025784345
126,0.003561014,0.003503125,0.025027624,0.026255834
127,0.003550386,0.003366829,0.025027251,0.025752970
128,0.003546027,0.003421393,0.025014335,0.025946815
129,0.003537924,0.003720368,0.025026853,0.025814669
130,0.003544897,0.003553507,0.025000560,0.026329550
131,0.003534383,0.003409214,0.025010522,0.025953759
132,0.003534268,0.003386515,0.025020151,0.025737957
133,0.003525587,0.003399546,0.025005808,0.025962472
134,0.003529853,0.003535110,0.025015323,0.025890038
135,0.003519991,0.003348947,0.025014337,0.025959274
136,0.003517672,0.003384067,0.025025042,0.025816417
137,0.003516712,0.003539960,0.025006660,0.025791196
138,0.003520472,0.003345488,0.025007987,0.026351976
139,0.003507314,0.003436852,0.025003401,0.025825240
140,0.003518793,0.003391344,0.024992054,0.025763588
141,0.003504378,0.003487683,0.025032265,0.025875151
142,0.003501207,0.003416409,0.025006975,0.026162125
143,0.003504332,0.003416309,0.025006194,0.025995385
144,0.003498224,0.003382464,0.025016837,0.025850296
145,0.003504454,0.003378372,0.025005177,0.025955501
146,0.003487600,0.003462807,0.024969319,0.025909876
147,0.003492338,0.003401659,0.025013114,0.025816366
148,0.003485522,0.003345145,0.025008369,0.025824439
149,0.003480954,0.003386093,0.024982264,0.026017493
150,0.003487441,0.003459830,0.024991825,0.025803023
151,0.003487308,0.003474938,0.025004448,0.025797066
152,0.003479946,0.003604398,0.025008600,0.026580116
153,0.003478125,0.003509228,0.024976822,0.026091846
154,0.003471850,0.003368822,0.024976329,0.025794836
155,0.003483115,0.003600531,0.024998312,0.025894573
156,0.003471225,0.003329561,0.024994033,0.026090061
157,0.003478067,0.003345562,0.024981594,0.025815216
158,0.003474160,0.003366972,0.024986339,0.025875650
159,0.003470617,0.003379739,0.024977822,0.025884989
160,0.003467422,0.003428936,0.024970669,0.025767283
161,0.003465395,0.003369440,0.024988061,0.025905037
162,0.003464546,0.003455800,0.024977394,0.025875415
163,0.003457556,0.003455242,0.025006617,0.025819572
164,0.003465019,0.003287688,0.024964071,0.025809324
165,0.003458740,0.003399047,0.024984152,0.026347292
166,0.003466857,0.003458242,0.025011445,0.026086550
167,0.003465874,0.003509273,0.024994746,0.025836058
168,0.003452807,0.003411480,0.024975525,0.026323774
169,0.003458222,0.003405979,0.024995671,0.026044310
170,0.003452000,0.003306600,0.025011474,0.025918704
171,0.003451957,0.003310156,0.024962163,0.025793687
172,0.003450530,0.003290193,0.024966806,0.025931313
173,0.003446592,0.003458919,0.024976383,0.026038794
174,0.003447756,0.003412643,0.024973847,0.026046879
175,0.003458970,0.003313320,0.024978425,0.025980102
176,0.003442196,0.003377234,0.024980221,0.025960936
177,0.003450055,0.003356915,0.024993265,0.025950457
178,0.003455865,0.003352704,0.024980965,0.025870254
179,0.003445006,0.003348468,0.024962687,0.026057282
180,0.003445433,0.003361002,0.024996870,0.025815978
181,0.003449945,0.003519979,0.024970825,0.026058005
182,0.003443168,0.003439218,0.024968007,0.025887323
183,0.003443279,0.003770534,0.024978609,0.026268873
184,0.003447400,0.003482344,0.025005624,0.025847969
185,0.003446430,0.003316767,0.024967948,0.025808434
186,0.003435372,0.003343834,0.024971435,0.026301805
187,0.003440267,0.003330028,0.024978074,0.025852690
188,0.003435481,0.003372023,0.024966390,0.025891346
189,0.003433412,0.003318710,0.024970483,0.025955739
190,0.003430003,0.003501601,0.024954572,0.026078636
191,0.003435757,0.003307938,0.024947228,0.025987126
192,0.003477100,0.003349965,0.024983062,0.025792627
193,0.003443551,0.003552706,0.024954308,0.025897202
194,0.003447194,0.003400185,0.024959400,0.025987572
195,0.003435667,0.003447687,0.024973053,0.025810182
196,0.003440630,0.003373331,0.024942101,0.025915085
197,0.003429479,0.003404523,0.024975068,0.026044058
198,0.003436942,0.003304505,0.024947320,0.026018939
199,0.003427334,0.003274357,0.024980387,0.025951154
200,0.003426768,0.003404403,0.024963271,0.025794372
