Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,0.0111163,1238.6046186,0.0111163,0.0034099
2,0.0030828,1259.6721565,0.0030828,0.0034581
3,0.0029433,1226.7867239,0.0029433,0.0030844
4,0.0028754,1230.6383359,0.0028754,0.0032928
5,0.0028241,1230.7851653,0.0028241,0.0029854
6,0.0028103,1249.5052359,0.0028103,0.0031374
Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,0.0111163,1238.6046186,0.0111163,0.0034099
2,0.0030828,1259.6721565,0.0030828,0.0034581
3,0.0029433,1226.7867239,0.0029433,0.0030844
4,0.0028754,1230.6383359,0.0028754,0.0032928
5,0.0028241,1230.7851653,0.0028241,0.0029854
6,0.0028103,1249.5052359,0.0028103,0.0031374
7,0.0027738,1227.1869572,0.0027738,0.0029714
8,0.0027496,1240.6917189,0.0027496,0.0031075
9,0.0027242,1275.6612605,0.0027242,0.0030967
10,0.0027194,1230.0786970,0.0027194,0.0030507
11,0.0027171,1211.6999250,0.0027171,0.0028675
12,0.0026917,1219.1069598,0.0026917,0.0029816
13,0.0027024,1223.6235190,0.0027024,0.0030091
14,0.0026658,1220.0414690,0.0026658,0.0031107
15,0.0026777,1211.6569463,0.0026777,0.0030241
16,0.0026600,1189.5026653,0.0026600,0.0029496
17,0.0026540,1172.2828487,0.0026540,0.0029888
18,0.0026404,1201.0358874,0.0026404,0.0031752
19,0.0026456,1154.3281960,0.0026456,0.0029737
20,0.0026400,1156.6237488,0.0026400,0.0029521
21,0.0026377,1161.1051648,0.0026377,0.0029126
22,0.0026277,1166.2768642,0.0026277,0.0029633
23,0.0026200,1120.3710377,0.0026200,0.0029498
24,0.0026223,1146.3832516,0.0026223,0.0030365
25,0.0026190,1151.9690405,0.0026190,0.0029640
26,0.0026145,1123.0941779,0.0026145,0.0029330
27,0.0026056,1120.0948141,0.0026056,0.0030530
28,0.0026013,1117.5645550,0.0026013,0.0029074
29,0.0026039,1125.9946896,0.0026039,0.0029600
30,0.0026044,1137.7605591,0.0026044,0.0029835
31,0.0025901,1137.7442066,0.0025901,0.0030417
32,0.0025905,1115.5947674,0.0025905,0.0029367
33,0.0025976,1129.6590642,0.0025976,0.0029180
34,0.0025893,1109.0478886,0.0025893,0.0029467
35,0.0025829,1149.1326222,0.0025829,0.0029778
36,0.0025804,1091.6340189,0.0025804,0.0028971
37,0.0025740,1117.4794084,0.0025740,0.0030422
38,0.0025781,1094.6607560,0.0025781,0.0029244
39,0.0025803,1118.7677852,0.0025803,0.0029117
40,0.0025716,1117.4703466,0.0025716,0.0029717
41,0.0025731,1131.2246471,0.0025731,0.0029828
42,0.0025715,1121.9796034,0.0025715,0.0029876
43,0.0025676,1106.6539114,0.0025676,0.0029639
44,0.0025656,1098.6401062,0.0025656,0.0029013
45,0.0025616,1123.4355282,0.0025616,0.0029444
46,0.0025585,1109.9383813,0.0025585,0.0030513
47,0.0025599,1070.1139234,0.0025599,0.0028703
48,0.0025561,1088.0291446,0.0025561,0.0029189
49,0.0025578,1098.6664622,0.0025578,0.0029438
50,0.0025556,1074.6590498,0.0025556,0.0029563
51,0.0025517,1079.5796229,0.0025517,0.0028648
52,0.0025536,1082.0834108,0.0025536,0.0028862
53,0.0025429,1060.7439167,0.0025429,0.0029615
54,0.0025425,1080.5694633,0.0025425,0.0029566
55,0.0025407,1130.1126669,0.0025407,0.0030304
56,0.0025309,1083.7381567,0.0025309,0.0029951
57,0.0025274,1117.4525473,0.0025274,0.0029407
58,0.0025155,1086.6451799,0.0025155,0.0029133
59,0.0025102,1041.8001675,0.0025102,0.0028094
60,0.0024991,1034.4104639,0.0024991,0.0028496
61,0.0024930,1030.9352479,0.0024930,0.0029596
62,0.0024798,1080.9083700,0.0024798,0.0028517
63,0.0024575,1032.7936872,0.0024575,0.0028354
64,0.0024524,1024.8442321,0.0024524,0.0027924
65,0.0024434,1060.0717387,0.0024434,0.0028404
66,0.0024315,1003.7365044,0.0024315,0.0028010
67,0.0024252,963.9553805,0.0024252,0.0028169
68,0.0024130,940.7368011,0.0024130,0.0028140
69,0.0024046,960.2868020,0.0024046,0.0028056
70,0.0024020,1029.9730499,0.0024020,0.0029070
71,0.0023852,921.8977499,0.0023852,0.0027594
72,0.0023806,950.4247502,0.0023806,0.0028096
73,0.0023689,970.0024785,0.0023689,0.0027443
74,0.0023619,900.1224754,0.0023619,0.0027121
75,0.0023583,871.0042774,0.0023583,0.0027404
76,0.0023478,928.7362107,0.0023478,0.0027286
77,0.0023348,919.0998479,0.0023348,0.0026862
78,0.0023243,930.1167251,0.0023243,0.0026644
79,0.0023195,867.3694034,0.0023195,0.0025929
80,0.0023066,921.9772560,0.0023066,0.0027118
81,0.0023033,963.2235646,0.0023033,0.0027172
82,0.0022851,836.0700575,0.0022851,0.0026887
83,0.0022847,932.2902116,0.0022847,0.0026407
84,0.0022782,870.3950494,0.0022782,0.0026164
85,0.0022727,979.5801921,0.0022727,0.0027995
86,0.0022625,954.8526082,0.0022625,0.0026995
87,0.0022499,873.5094738,0.0022499,0.0026362
88,0.0022435,847.9443926,0.0022435,0.0027584
89,0.0022396,944.4848686,0.0022396,0.0028535
90,0.0022328,890.2329497,0.0022328,0.0026863
91,0.0022181,863.9938766,0.0022181,0.0026609
92,0.0022204,853.5008676,0.0022204,0.0026200
93,0.0022109,893.4915563,0.0022109,0.0027420
94,0.0022058,845.7358831,0.0022058,0.0026117
95,0.0022034,827.5108574,0.0022034,0.0026369
96,0.0022038,831.3007168,0.0022038,0.0026669
97,0.0021937,834.7670347,0.0021937,0.0025603
98,0.0021859,819.2344124,0.0021859,0.0025464
99,0.0021830,822.2767459,0.0021830,0.0028607
100,68.4449669,33.8390565,0.2475508,0.0288301
101,-0.2509057,-0.2999895,0.0361523,0.0253184
102,-0.5719498,-0.5476635,0.0555544,0.0869319
103,-0.4454128,-0.9086864,0.0496187,0.0210982
104,-0.9110026,-0.7947052,0.0167562,0.0264034
105,-0.8891591,-1.1960399,0.0237461,0.0167458
106,-0.9230437,-0.9135648,0.0326523,0.0330325
107,-0.8421070,-0.8781807,0.0307591,0.0255364
108,-0.6630441,-1.1817435,0.0269189,0.0238344
109,-1.0323526,-1.1451610,0.0276680,0.0239919
