Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,144.7803330,22.3336272,1264.6818364,7907.4640241
2,70.4544017,2.6727390,32138.1639393,21.7007332
3,10.6919310,3.4471145,45168.4123621,53.4646942
4,5.0314536,4.2608003,8008.9341617,937.3790171
5,3.2356139,3.6711877,1303.8504499,300.5875747
6,216.5673227,4.7406836,658825.1424592,5761.8875857
7,5.4443057,3.5871620,24031.3063040,107.4756569
8,18.8000077,5.4449459,348075.6547864,4020.8100586
9,12.1052673,4.0842601,349989.1717281,662.9979469
10,22.5035141,5.1667534,406280.5230887,2889.8761784
11,35.8759051,6.2850570,1665552.7539512,33060.5497349
12,6.1258384,5.8576621,20270.6906909,6790.7804229
13,5.8961659,5.5064569,26019.6375720,1763.6354532
14,5.6281021,5.1488323,17719.9342839,492.7991406
15,120.1871495,6.5558735,24931383.6923199,77185.9934232
16,6.5788287,6.4602356,60697.1258785,21229.2077288
17,6.2925894,5.7637089,23610.5966694,8666.7765939
18,9583441498.2036114,1270.8758302,81550379248.8196716,95422604434.2857208
19,1020.6389995,818.1870475,90153838567.1042938,84527259648.0000000
20,662.4481021,520.8376228,76685477538.1497192,68017174528.0000000
21,7329570787.3564711,3784.1305704,394504539900.5604858,472830025560.8163452
22,3157.3127871,2664.4344507,474543428561.4843140,472674488737.9591675
23,2344.6552765,2056.7337267,474298824812.7549438,472419864158.0408325
24,1843.8168480,1643.8334033,473888601067.6903687,471933579681.9591675
25,1489.7814214,1342.0596264,473248544939.6494141,471016703456.6530762
26,1226.4814452,1114.3474364,471948840752.9724731,469283934625.9591675
27,1025.7511403,938.6121166,469579988467.8796997,466015906920.4898071
28,868.8744981,799.1866520,464957032087.6672974,459816230076.0816040
29,742.3084388,684.3843181,456329882901.1286011,448196283496.4898071
30,634.7930222,583.2210994,440259107370.2572021,426898019892.2448730
31,537.2137855,488.2870365,411588960711.9846191,389892216539.4285889
32,443.1228332,394.9034072,363982431544.5067139,331148834774.2041016
33,349.5169701,301.5672911,292947996092.8471069,248848666958.3673401
34,256.0431171,209.1495981,201986078854.9609680,152910583348.2449036
35,167.7111261,128.3221801,109434236437.9475403,70243328606.0408173
36,97.5584250,68.0189700,44469116595.1836243,23505563627.1020393
37,39.9258060,15.6493863,10472692788.6577091,1832277102.3673470
38,9.9562157,8.2556061,514405159.6161228,165305567.6326531
39,871964317889.9000244,31324.6379345,634313515862.5463867,874244957999.0203857
40,26133.4386846,22032.9548689,875527063883.5061035,873329794570.4489746
41,19197.9624858,16693.0132235,874399753738.1547852,871964066795.1020508
42,14735.0431724,12944.5448521,872693066316.3250732,869870267830.8571777
43,11483.9259137,10128.6846301,870003308160.0819092,866336837882.7755127
44,9002.0757798,7950.0736059,865244619574.8688965,860187457577.7958984
45,7066.8435394,6238.9081533,857089407116.2021484,849692199873.3061523
46,5539.4087586,4881.8685926,843284403436.5092773,831973378340.5714111
47,4322.9175947,3795.7377407,819816476564.5552979,801652316368.9796143
48,3343.2483576,2914.1280542,779542244765.3999023,749746981156.5714111
49,2539.7545059,2181.6873094,711531910904.6295166,663518436874.4489746
50,1861.1663897,1550.5763151,602038009730.2111816,529173000275.5918579
51,1261.7625156,979.4716140,440701770743.4830322,343877882273.9591675
52,727.7798905,496.3939077,249300036224.7370300,161642339850.4489746
53,311.8549790,162.5646604,97809925621.1900177,49257765574.5306091
54,114.4364683,92.2745207,33394342180.1970558,25340330527.3469391
55,28131.3843637,10256.2609764,32793224378145.2500000,29854150148430.3671875
56,6677.7646397,3606.3200098,21700139707501.4101562,13221891402522.1230469
57,1624.3266121,295.3783113,6381690575297.4335938,1367675818903.5102539
58,64.7239071,11.6949815,272159722618.8406982,3725117140.8979592
59,11.4903833,11.3916109,2913175984.3992324,2697007460.5714288
60,11.3176617,11.1797668,2505137615.5188742,2274407075.9183674
61,11.1199818,11.0075422,2166308934.1829815,2042378451.5918367
62,11.0076717,11.3136310,1907890384.4197056,1775284471.5102041
63,10.9116766,10.8113326,1581877576.4760077,1374118047.3469388
64,10.7799772,10.6811588,1129913226.9737685,871911825.3061224
65,10.6693587,10.5666127,646812491.8746002,439235317.2244898
66,10.5613970,10.4634957,302978381.4203455,192321769.2244898
67,10.4774147,10.9292454,136956381.0057582,128617391.9183673
68,10.3683439,10.2624952,70831956.1100448,50107787.4489796
69,10.2437558,10.0815865,40221300.0537428,24902840.9387755
70,9.9666009,9.6136121,22251836.2546385,15057071.7448980
71,2227995248331.2690430,292.0197362,1259646546.4740882,1325829660.0816326
72,291.0360670,290.5161007,1323404307.1631477,1323113087.3469388
73,289.5073053,288.8284011,1322501887.5086372,1322808314.1224489
74,287.5656852,286.6141409,1322161277.3793986,1322409062.5306122
75,285.0459784,283.7822372,1321692703.6928983,1321889391.0204082
76,281.8759033,280.2350638,1321198433.2079334,1321395985.6326530
77,371743.2979886,303.5838196,1333835445.5585413,1347706150.5306122
78,296.0314113,289.7213650,1347324321.4126680,1347626414.3673470
79,283.4039026,277.1954656,1347282468.8522072,1347592631.5102041
80,269.9402076,262.5094341,1347251503.7440820,1347575973.8775511
81,10348.0927334,550.9878011,1349314315.1375561,1838054247.1836734
82,505.6929774,446.8893045,2114219049.8477287,2115401178.7755103
83,9717.9303454,592.7058517,3719839682.2520795,4686260558.3673468
84,545.4270277,505.9489745,4678803913.7863083,4678622803.5918369
