Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,0.0110720,0.0034596,0.0110720,0.0034596
Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,0.0110720,0.0034596,0.0110720,0.0034596
2,0.0030865,0.0036024,0.0030865,0.0036024
3,0.0029601,0.0033334,0.0029601,0.0033334
4,0.0029028,0.0032852,0.0029028,0.0032852
5,0.0028257,0.0032790,0.0028257,0.0032790
6,0.0028002,0.0030479,0.0028002,0.0030479
7,0.0027728,0.0030687,0.0027728,0.0030687
8,0.0027589,0.0031665,0.0027589,0.0031665
9,0.0027343,0.0031614,0.0027343,0.0031614
10,0.0027191,0.0032363,0.0027191,0.0032363
11,0.0027159,0.0031687,0.0027159,0.0031687
12,0.0026975,0.0030770,0.0026975,0.0030770
13,0.0026999,0.0029067,0.0026999,0.0029067
14,0.0026727,0.0030302,0.0026727,0.0030302
15,0.0026731,0.0028971,0.0026731,0.0028971
16,0.0026685,0.0030766,0.0026685,0.0030766
17,0.0026523,0.0030910,0.0026523,0.0030910
18,0.0026538,0.0029703,0.0026538,0.0029703
19,0.0026493,0.0030102,0.0026493,0.0030102
20,0.0026375,0.0029365,0.0026375,0.0029365
21,0.0026262,0.0030032,0.0026262,0.0030032
22,0.0026273,0.0030140,0.0026273,0.0030140
23,0.0026295,0.0029467,0.0026295,0.0029467
24,0.0026129,0.0028749,0.0026129,0.0028749
25,0.0026245,0.0029218,0.0026245,0.0029218
26,0.0026172,0.0030491,0.0026172,0.0030491
27,0.0026112,0.0030626,0.0026112,0.0030626
28,0.0026073,0.0030579,0.0026073,0.0030579
29,0.0026041,0.0028526,0.0026041,0.0028526
30,0.0025976,0.0031332,0.0025976,0.0031332
31,0.0025962,0.0029889,0.0025962,0.0029889
32,0.0025914,0.0029575,0.0025914,0.0029575
33,0.0025908,0.0029001,0.0025908,0.0029001
34,0.0025856,0.0029370,0.0025856,0.0029370
35,0.0025848,0.0029571,0.0025848,0.0029571
36,0.0025820,0.0029287,0.0025820,0.0029287
37,0.0025856,0.0028819,0.0025856,0.0028819
38,0.0025722,0.0029884,0.0025722,0.0029884
39,0.0025778,0.0029293,0.0025778,0.0029293
40,0.0025719,0.0029339,0.0025719,0.0029339
41,0.0025687,0.0029498,0.0025687,0.0029498
42,0.0025684,0.0029452,0.0025684,0.0029452
43,0.0025693,0.0029800,0.0025693,0.0029800
44,0.0025650,0.0029555,0.0025650,0.0029555
45,0.0025695,0.0029150,0.0025695,0.0029150
46,0.0025567,0.0029355,0.0025567,0.0029355
47,0.0025612,0.0029195,0.0025612,0.0029195
48,0.0025567,0.0029327,0.0025567,0.0029327
49,0.0025519,0.0029008,0.0025519,0.0029008
50,0.0025574,0.0030085,0.0025574,0.0030085
51,0.0025509,0.0028941,0.0025509,0.0028941
52,0.0025491,0.0029514,0.0025491,0.0029514
53,0.0025475,0.0029084,0.0025475,0.0029084
54,0.0025506,0.0029246,0.0025506,0.0029246
55,0.0025407,0.0029260,0.0025407,0.0029260
56,0.0025414,0.0029196,0.0025414,0.0029196
57,0.0025401,0.0030898,0.0025401,0.0030898
58,0.0025325,0.0029323,0.0025325,0.0029323
59,0.0025254,0.0028780,0.0025254,0.0028780
60,0.0025218,0.0029496,0.0025218,0.0029496
61,0.0025120,0.0028055,0.0025120,0.0028055
62,0.0025053,0.0028503,0.0025053,0.0028503
63,0.0024956,0.0029339,0.0024956,0.0029339
64,0.0024828,0.0028925,0.0024828,0.0028925
65,0.0024835,0.0029670,0.0024835,0.0029670
66,0.0024717,0.0029119,0.0024717,0.0029119
67,0.0024609,0.0029552,0.0024609,0.0029552
68,0.0024495,0.0029318,0.0024495,0.0029318
69,0.0024376,0.0027520,0.0024376,0.0027520
70,0.0024211,0.0027684,0.0024211,0.0027684
71,0.0024174,0.0028557,0.0024174,0.0028557
72,0.0023957,0.0027751,0.0023957,0.0027751
73,0.0023960,0.0027347,0.0023960,0.0027347
74,0.0023753,0.0027490,0.0023753,0.0027490
75,0.0023643,0.0028295,0.0023643,0.0028295
76,0.0023574,0.0027700,0.0023574,0.0027700
77,0.0023452,0.0028022,0.0023452,0.0028022
78,0.0023396,0.0026164,0.0023396,0.0026164
79,0.0023264,0.0027822,0.0023264,0.0027822
80,0.0023133,0.0026383,0.0023133,0.0026383
81,0.0023049,0.0026598,0.0023049,0.0026598
82,0.0022979,0.0026956,0.0022979,0.0026956
83,0.0022837,0.0026826,0.0022837,0.0026826
84,0.0022746,0.0027094,0.0022746,0.0027094
85,0.0022717,0.0026100,0.0022717,0.0026100
86,0.0022579,0.0027182,0.0022579,0.0027182
87,0.0022540,0.0026207,0.0022540,0.0026207
88,0.0022468,0.0026808,0.0022468,0.0026808
89,0.0022448,0.0026549,0.0022448,0.0026549
90,0.0022319,0.0025334,0.0022319,0.0025334
91,0.0022258,0.0026166,0.0022258,0.0026166
92,0.0022218,0.0026719,0.0022218,0.0026719
93,0.0022268,0.0025468,0.0022268,0.0025468
94,0.0022079,0.0026844,0.0022079,0.0026844
95,0.0022102,0.0025083,0.0022102,0.0025083
96,0.0022071,0.0026247,0.0022071,0.0026247
97,0.0022008,0.0025666,0.0022008,0.0025666
98,0.0021962,0.0025537,0.0021962,0.0025537
99,0.0021931,0.0025748,0.0021931,0.0025748
100,0.0021870,0.0025412,0.0021870,0.0025412
101,nan,nan,0.0021730,0.0025412
102,nan,nan,0.0021731,0.0025412
103,nan,nan,0.0021730,0.0025412
104,nan,nan,0.0021730,0.0025412
105,nan,nan,0.0021731,0.0025412
106,nan,nan,0.0021730,0.0025412
107,nan,nan,0.0021730,0.0025412
108,nan,nan,0.0021730,0.0025412
109,nan,nan,0.0021728,0.0025412
110,nan,nan,0.0021731,0.0025412
111,nan,nan,0.0021730,0.0025412
112,nan,nan,0.0021730,0.0025412
113,nan,nan,0.0021730,0.0025412
114,nan,nan,0.0021730,0.0025412
115,nan,nan,0.0021731,0.0025412
116,nan,nan,0.0021731,0.0025412
117,nan,nan,0.0021730,0.0025412
118,nan,nan,0.0021731,0.0025412
119,nan,nan,0.0021731,0.0025412
120,nan,nan,0.0021730,0.0025412
121,nan,nan,0.0021731,0.0025412
122,nan,nan,0.0021731,0.0025412
123,nan,nan,0.0021730,0.0025412
124,nan,nan,0.0021731,0.0025412
125,nan,nan,0.0021729,0.0025412
126,nan,nan,0.0021729,0.0025412
127,nan,nan,0.0021731,0.0025412
128,nan,nan,0.0021730,0.0025412
129,nan,nan,0.0021731,0.0025412
130,nan,nan,0.0021731,0.0025412
131,nan,nan,0.0021731,0.0025412
132,nan,nan,0.0021731,0.0025412
133,nan,nan,0.0021731,0.0025412
134,nan,nan,0.0021730,0.0025412
135,nan,nan,0.0021731,0.0025412
136,nan,nan,0.0021731,0.0025412
137,nan,nan,0.0021729,0.0025412
138,nan,nan,0.0021730,0.0025412
139,nan,nan,0.0021731,0.0025412
140,nan,nan,0.0021730,0.0025412
141,nan,nan,0.0021730,0.0025412
142,nan,nan,0.0021730,0.0025412
143,nan,nan,0.0021730,0.0025412
144,nan,nan,0.0021731,0.0025412
145,nan,nan,0.0021731,0.0025412
146,nan,nan,0.0021730,0.0025412
147,nan,nan,0.0021729,0.0025412
148,nan,nan,0.0021731,0.0025412
149,nan,nan,0.0021731,0.0025412
150,nan,nan,0.0021730,0.0025412
151,nan,nan,0.0021731,0.0025412
152,nan,nan,0.0021731,0.0025412
153,nan,nan,0.0021731,0.0025412
154,nan,nan,0.0021731,0.0025412
155,nan,nan,0.0021731,0.0025412
156,nan,nan,0.0021731,0.0025412
157,nan,nan,0.0021730,0.0025412
158,nan,nan,0.0021730,0.0025412
159,nan,nan,0.0021730,0.0025412
160,nan,nan,0.0021731,0.0025412
161,nan,nan,0.0021731,0.0025412
162,nan,nan,0.0021731,0.0025412
163,nan,nan,0.0021731,0.0025412
164,nan,nan,0.0021731,0.0025412
165,nan,nan,0.0021731,0.0025412
166,nan,nan,0.0021729,0.0025412
167,nan,nan,0.0021730,0.0025412
168,nan,nan,0.0021730,0.0025412
169,nan,nan,0.0021732,0.0025412
170,nan,nan,0.0021730,0.0025412
171,nan,nan,0.0021731,0.0025412
172,nan,nan,0.0021730,0.0025412
173,nan,nan,0.0021730,0.0025412
174,nan,nan,0.0021730,0.0025412
175,nan,nan,0.0021730,0.0025412
176,nan,nan,0.0021729,0.0025412
177,nan,nan,0.0021730,0.0025412
178,nan,nan,0.0021730,0.0025412
179,nan,nan,0.0021729,0.0025412
180,nan,nan,0.0021732,0.0025412
181,nan,nan,0.0021730,0.0025412
182,nan,nan,0.0021730,0.0025412
183,nan,nan,0.0021730,0.0025412
184,nan,nan,0.0021730,0.0025412
185,nan,nan,0.0021730,0.0025412
186,nan,nan,0.0021731,0.0025412
187,nan,nan,0.0021730,0.0025412
188,nan,nan,0.0021731,0.0025412
189,nan,nan,0.0021731,0.0025412
190,nan,nan,0.0021730,0.0025412
191,nan,nan,0.0021731,0.0025412
192,nan,nan,0.0021731,0.0025412
193,nan,nan,0.0021730,0.0025412
194,nan,nan,0.0021730,0.0025412
195,nan,nan,0.0021730,0.0025412
196,nan,nan,0.0021731,0.0025412
197,nan,nan,0.0021731,0.0025412
198,nan,nan,0.0021731,0.0025412
199,nan,nan,0.0021730,0.0025412
200,nan,nan,0.0021730,0.0025412
using encoder from epoch 1
