Epoch,Train Total,Val Total,Train Recon,Val Recon
Epoch,Train Total,Val Total,Train Recon,Val Recon
Epoch,Train Total,Val Total,Train Recon,Val Recon
Epoch,Train Total,Val Total,Train Recon,Val Recon
Epoch,Train Total,Val Total,Train Recon,Val Recon
1,0.2190730,0.0724759,0.2189657,0.0720917
2,0.0277230,0.0096853,0.0274184,0.0093329
3,0.0143710,0.0134346,0.0139918,0.0130283
4,0.0118350,0.0071051,0.0114131,0.0066569
5,0.0103483,0.0087276,0.0098488,0.0082745
6,0.0093068,0.0064784,0.0088058,0.0059419
7,0.0098953,0.0080360,0.0093668,0.0075298
8,0.0093103,0.0072325,0.0087716,0.0067497
9,0.0067166,0.0049609,0.0061634,0.0043907
10,0.0108409,0.0338599,0.0102549,0.0330821
11,0.0178213,0.0066202,0.0169757,0.0059338
12,0.0131816,0.0071125,0.0124384,0.0063957
13,0.0105096,0.0104453,0.0098431,0.0097769
14,0.0248806,0.0121984,0.0237365,0.0105108
15,0.0224488,0.0111378,0.0212992,0.0102240
16,0.0196356,0.0103084,0.0187045,0.0095370
17,0.0190065,0.0305003,0.0182018,0.0294314
18,0.0254962,0.0205170,0.0244565,0.0194863
19,0.0214152,0.0457363,0.0204541,0.0448120
20,0.0263679,0.0278748,0.0254059,0.0270421
21,0.0186897,0.0081695,0.0178920,0.0074095
22,0.0225851,0.0149536,0.0218022,0.0141546
23,0.0222574,0.0184040,0.0215086,0.0176481
24,0.0195497,0.0278762,0.0187916,0.0271336
25,0.0160469,0.0131543,0.0153186,0.0124067
26,0.0189197,0.0108489,0.0181783,0.0101154
27,0.0192095,0.0173330,0.0184230,0.0164468
28,0.0188826,0.0066520,0.0180148,0.0058298
29,0.0146436,0.0171095,0.0138750,0.0163631
30,0.0173783,0.0179904,0.0166567,0.0172845
31,0.0188560,0.0127387,0.0181582,0.0119690
32,0.0131616,0.0059497,0.0124535,0.0052502
33,0.0140153,0.0077011,0.0133162,0.0070344
34,0.0114589,0.0079727,0.0107773,0.0072942
35,0.0104030,0.0064272,0.0097262,0.0057256
36,0.0161846,0.0122398,0.0155484,0.0115455
37,0.0088122,0.0067068,0.0081701,0.0060729
38,0.0074842,0.0060969,0.0068569,0.0054932
39,0.0065471,0.0050990,0.0059261,0.0044459
40,0.0067872,0.0086583,0.0061589,0.0080694
41,0.0065959,0.0050099,0.0059760,0.0043808
42,0.0060813,0.0078893,0.0054712,0.0072461
43,0.0062590,0.0049477,0.0056714,0.0043543
44,0.0058597,0.0496754,0.0052593,0.0490900
45,0.0156024,0.0200661,0.0149167,0.0193288
46,0.0148050,0.0111159,0.0141652,0.0105066
47,0.0148270,0.0069726,0.0142192,0.0063564
48,0.0125229,0.0083384,0.0119232,0.0077444
49,0.0255501,0.0108428,0.0247369,0.0102371
50,0.0108373,0.0094796,0.0102619,0.0089284
51,0.0122853,0.0103356,0.0117411,0.0098174
52,0.0091204,0.0059565,0.0085832,0.0054067
53,0.0081385,0.0065317,0.0075886,0.0059911
54,0.0087755,0.0130434,0.0082310,0.0125030
55,0.0094351,0.0056427,0.0088811,0.0050874
56,0.0086927,0.0112230,0.0081398,0.0106630
57,0.0090161,0.0056210,0.0084666,0.0050655
58,0.0069242,0.0091263,0.0063526,0.0085579
59,0.0074236,0.0050048,0.0068414,0.0044132
60,0.0076963,0.0152556,0.0071195,0.0147160
61,0.0069718,0.0053959,0.0063951,0.0048084
62,0.0125116,0.0092386,0.0118006,0.0086407
63,0.0091299,0.0074501,0.0085045,0.0068138
64,0.0093687,0.0065962,0.0087633,0.0059995
65,0.0094982,0.0060065,0.0088917,0.0054029
66,0.0087757,0.0094203,0.0081665,0.0088107
67,0.0101423,0.0108993,0.0095129,0.0102715
68,0.0086487,0.0091404,0.0080418,0.0085567
69,0.0078777,0.0052435,0.0072830,0.0046430
70,0.0075709,0.0071998,0.0069810,0.0066001
71,0.0084593,0.0111759,0.0078606,0.0105392
72,0.0097013,0.0095852,0.0090743,0.0089803
73,0.0081492,0.0086093,0.0075445,0.0080212
74,0.0079721,0.0121619,0.0073797,0.0115807
75,0.0073650,0.0052289,0.0067786,0.0046433
76,0.0082529,0.0092401,0.0076829,0.0086539
77,0.0076178,0.0061290,0.0070400,0.0055394
78,0.0076625,0.0058316,0.0070622,0.0052297
79,0.0077556,0.0090680,0.0071579,0.0084821
80,0.0081570,0.0056832,0.0075639,0.0050855
81,0.0073799,0.0148811,0.0067736,0.0142513
82,0.0077233,0.0072624,0.0071166,0.0066661
83,0.0075422,0.0075310,0.0069448,0.0069362
84,0.0078515,0.0054239,0.0072634,0.0048390
85,0.0068004,0.0052123,0.0062032,0.0046171
86,0.0078658,0.0124163,0.0072689,0.0118418
87,0.0123380,0.0163395,0.0116994,0.0156634
88,0.0105725,0.0136188,0.0099439,0.0129970
89,0.0094952,0.0055537,0.0088633,0.0049835
90,0.0075407,0.0057282,0.0069595,0.0051580
91,0.0091047,0.0073753,0.0085186,0.0068213
92,0.0069982,0.0056189,0.0064356,0.0050065
93,0.0102369,0.0083214,0.0096495,0.0078250
94,0.0064795,0.0055523,0.0059103,0.0049193
95,0.0061719,0.0067046,0.0055902,0.0060022
96,0.0058590,0.0060540,0.0052586,0.0054242
97,0.0076680,0.0200915,0.0070235,0.0192499
98,0.0082242,0.0065919,0.0076106,0.0059641
99,0.0070515,0.0146969,0.0064680,0.0141515
100,0.0066218,0.0054862,0.0060105,0.0049322
using encoder from epoch 85
