Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,106.0848787,-0.5786035,0.0792753,0.0652437
2,-1.9690200,-0.6083608,0.0548391,0.0414583
3,-1.4092506,-0.2321188,0.0516473,0.0570594
4,-1.7516877,-0.3968907,0.0484713,0.0482239
5,-0.7712572,-0.0473707,0.0913383,0.2769678
6,-1.3271460,-0.3227774,0.0824183,0.0433053
7,-1.5330922,-0.6335357,0.0478880,0.0527953
8,-1.8701144,-0.1465083,0.0529403,0.1164896
9,-1.0584427,-0.4586962,0.0772865,0.0525375
10,-1.7411857,-0.5249729,0.0530304,0.0479427
11,-1.8990825,-1.3922457,0.0467483,0.0439864
12,-1.9618795,-0.7172337,0.0378554,0.0357264
13,-2.0626862,-0.5562365,0.0394785,0.0438999
14,-2.0071784,-0.8303750,0.0439749,0.0455431
15,-2.1969731,-0.9095774,0.0449939,0.0430853
16,-1.7244245,-0.5070843,0.0466929,0.0459882
17,-1.8438717,0.0642481,0.0417291,0.0415247
18,-1.9255396,-0.6848260,0.0396474,0.0382006
19,-2.1202178,-0.8278840,0.0373487,0.0392290
20,-2.1225396,-0.6374486,0.0405565,0.0405472
21,-2.1523971,-0.7897789,0.0400587,0.0406497
22,-2.1261260,-0.6740429,0.0391088,0.0378740
23,-2.2627063,0.8921125,0.0367716,0.0365206
24,-2.2188033,-0.5037352,0.0367416,0.0386977
25,-2.2458261,-0.9180717,0.0383794,0.0380494
26,-2.2844844,-0.3438435,0.0392971,0.0383214
27,-2.3494646,-1.0141964,0.0387948,0.0390274
28,-2.3797680,-0.9720593,0.0399856,0.0399862
29,-2.4317159,-0.8932307,0.0393593,0.0401814
30,-2.2521089,-0.9011636,0.0391800,0.0391890
31,-2.3138715,-0.9575059,0.0391726,0.0417029
32,-2.3497893,-0.8992326,0.0392497,0.0395074
33,-2.3590100,-0.9335498,0.0377559,0.0391777
34,-2.3652802,-0.8061862,0.0388771,0.0388521
35,-2.0569200,-0.7526892,0.0373289,0.0383987
36,-2.2195103,-0.8111850,0.0368069,0.0374983
37,-2.2254935,-0.8018446,0.0340131,0.0338155
38,-2.2507615,-0.8224309,0.0339251,0.0340549
39,-1.9461505,-0.7389893,0.0357834,0.0375200
40,-2.3601111,-1.0461431,0.0371473,0.0379863
41,-2.4134320,-0.8470654,0.0376407,0.0380916
42,-2.4940026,-1.1559550,0.0372775,0.0381218
43,-2.5030272,-1.1254662,0.0373908,0.0371271
44,-2.5267907,-1.0262690,0.0375674,0.0367262
45,-2.4862876,-0.9621927,0.0367725,0.0380313
46,-2.4562928,-0.2658383,0.0370917,0.0374107
47,-2.4209699,-0.8868886,0.0345518,0.0355156
48,-2.3631802,-0.8716350,0.0336483,0.0342825
49,-2.4132667,-1.0113931,0.0328606,0.0328611
50,-2.4999799,-1.2536872,0.0323258,0.0325326
51,-2.4466289,-0.9113754,0.0307112,0.0322032
52,-2.3779543,-1.0449447,0.0316594,0.0342557
53,-2.5552830,-1.1518730,0.0334022,0.0333389
54,-2.4968931,-0.9009072,0.0338854,0.0338766
55,-2.4093498,-0.9687227,0.0319205,0.0318644
56,-2.1767337,-0.2746806,0.0319190,0.0334578
57,-2.3699553,-0.7635480,0.0327901,0.0360775
58,-2.3001835,-0.8598761,0.0343111,0.0348838
59,-2.3961402,-0.9812588,0.0321505,0.0325042
60,-2.4360638,-0.9232323,0.0320385,0.0343588
61,-2.2299093,-0.7787426,0.0311754,0.0310798
62,-2.4154701,-0.9333195,0.0313906,0.0313151
63,-2.1112723,-1.3153161,0.0298742,0.0289632
64,-2.5986024,-1.0387823,0.0301071,0.0313642
65,-2.4975773,-1.0491590,0.0304239,0.0296736
66,-2.5737608,-0.9899339,0.0294773,0.0309571
67,-2.5011653,-0.9318706,0.0305195,0.0308001
68,-2.5374649,-1.0795517,0.0288545,0.0293423
69,-2.3962444,-1.5466330,0.0317894,0.0308327
70,-2.5342756,-0.8861615,0.0293566,0.0303269
71,-2.5024859,-1.0772748,0.0286210,0.0284474
72,-2.4618361,-1.1123519,0.0278814,0.0284830
73,-2.6062887,-1.0687194,0.0278455,0.0291534
74,-2.5473802,-0.7555615,0.0285428,0.0284362
75,-2.5591769,-1.0171512,0.0272698,0.0268428
76,-2.5915755,-1.0218029,0.0265186,0.0276100
77,-2.5777337,-1.0875500,0.0266383,0.0272211
78,-2.6049511,-0.9766429,0.0259843,0.0266128
79,-2.5249191,-1.0481741,0.0256892,0.0308179
80,-2.5788290,-1.8631616,0.0272960,0.0266490
81,-2.6409690,-1.2711239,0.0264005,0.0267078
82,-2.6818764,-1.0381150,0.0254159,0.0305189
83,-2.5958466,-1.1808241,0.0289548,0.0276730
84,-2.6776159,-1.2446923,0.0264521,0.0272091
85,-2.6737322,-0.4066612,0.0277902,0.0270401
86,-2.5953859,-1.1369758,0.0265935,0.0263444
87,-2.6440868,-1.2220062,0.0257338,0.0246208
88,-2.6492058,-0.8380862,0.0244900,0.0252162
89,-2.6540804,-1.0727166,0.0260382,0.0281757
90,-2.6332023,-0.9564612,0.0276078,0.0288106
91,-2.6345032,-1.2336646,0.0268501,0.0273347
92,-2.6900202,-1.1995528,0.0270141,0.0288014
93,-2.6335014,-0.9768669,0.0271366,0.0289980
94,-2.5823048,-1.1504732,0.0272048,0.0279732
95,-2.7314394,-1.1785733,0.0258734,0.0279531
96,-2.6756930,-1.2398549,0.0269372,0.0296428
97,-2.5658872,12.4063568,0.0296939,0.0292292
98,-2.6040696,0.6637052,0.0286774,0.0281666
99,-2.7503674,42.0306874,0.0270886,0.0269240
100,-2.8900613,57.1024436,0.0268178,0.0264045
using encoder from epoch 80
