Epoch,Train Loss,Val Loss,MSE Train,MSE Val
Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,35.2520217,14.3301557,0.1679103,0.0687005
2,17.1923656,13.8546920,0.1348924,0.1221737
3,280846.9466919,31.1117864,376.8243943,4476.4861737
4,34.3360949,24.8951105,4073.8039684,3598.9388752
5,34.7647295,28.8565098,2988.3000132,2440.9243575
6,29.4832211,28.6196398,1861.4934089,1357.2504727
7,1131367.0537041,74.3780501,1776.7892672,3853.5290876
8,43.6611690,32.2794008,3682.7463073,3510.4612389
9,29.4490387,28.8219637,3360.2242504,3193.6771676
10,30.8260422,60.8354005,2900.9143752,2465.1902553
11,205.7191106,108882.4017060,1863.7454802,17643.9275052
12,36099.6805665,62.4171578,34163.1055069,32235.2110172
13,79.1015523,70.3856602,30910.1399102,27577.5402483
14,104.5225673,60.5008818,20663.1748072,13029.0769342
15,82.6477854,59.5567534,8075.4751292,4418.7841249
16,69.6042648,70.3216997,2540.4224911,1273.4116765
17,70.8890183,32748823781.8775520,794.2784733,234672.1875000
18,21365894.0456569,813.8823308,352251.3785776,347130.7476084
19,873.6401085,139.1281027,316565.6551703,277055.7851562
20,725.2943808,93.7261213,236208.0013596,196511.7078284
21,83.4538428,87.0191565,197340.8966531,194549.1976244
22,256.6609438,255.0813570,181541.4991603,169048.7847577
23,224.5051113,101.4101468,155791.6385857,142040.3504464
24,177.7688022,78.3263290,126275.7962402,111795.9187261
25,157.2261082,248.5818412,98048.8625140,84378.3812580
26,123.5717255,180.3825498,73059.6578545,60519.4197624
27,97.4345751,115.5138223,48110.6030745,36190.6181641
28,74.6689991,147.6084513,26772.0151089,17776.4933434
29,60.3895784,65.3389475,11829.3939093,7096.0356072
30,53.5468087,53.9625183,4401.9216830,2198.8649678
31,32341.5174432,709.3645443,130633.5381399,213715.3810587
32,460.5592926,113.3129415,169427.1715951,126560.8838887
33,452.6521175,186.7552308,94184.3224818,72464.5351164
34,821.1673757,63.4973983,57223.5875345,39412.4596022
35,141.0152855,236.9799430,53831.7248680,54861.0126953
36,204.7013505,61.6312019,43920.5932127,33997.1481186
37,129.0651675,64.0929679,26732.6493784,19842.6593591
38,72.5772421,51.9301886,14091.9675557,9089.1481784
39,48.8082974,31.8589537,5594.2561194,2845.0452084
40,26.5821577,26.7301053,1847.0971717,1080.8382382
41,18.6008397,17.4174382,898.1947328,657.6918562
42,2471374.7089042,101.1354872,2961.6495256,10902.0643236
43,59.0226672,52.0955149,10928.7779879,10920.4162797
44,49.4308353,50.0143036,10930.0946410,10909.5508311
45,50.7633850,51.3799465,10899.7668577,10845.3487773
46,54.5062674,56.1649658,10780.1522482,10663.9289800
47,55.3184656,65.4640137,10526.0082917,10338.2948023
48,55.4965108,53.6662077,10134.7221320,9880.7542799
49,54.5647965,62.8261309,9583.8635330,9217.7267419
50,53.8117803,41.1822070,8822.4546208,8324.0533846
51,52.0032715,41.0242649,7760.5350138,7133.0137690
52,8720.4218779,53.6041782,4518.0112547,3779.9788445
53,121.8670295,50.1249406,2725.5852944,2603.2236129
54,49.9344048,47.8832920,2582.2631819,2518.8583835
55,48.9957146,47.8487152,2408.1161797,2234.2447398
56,12621988921.6215286,115953.4266582,181047.8671413,352.6120233
57,9779.5539812,1351.9294776,340.2404927,339.3315680
58,714.9550104,554.0242208,338.2801141,338.4900956
59,357.5489136,337.9279331,338.0660362,338.6213757
60,365.7312675,271.4327662,337.7596749,336.2480279
using encoder from epoch 50
