Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,71.5253894,1.8138545,0.1117162,0.0525684
2,5.0394700,0.3747222,0.0770849,0.0950506
3,0.8162900,0.1364116,0.0853046,0.1286250
4,1.5846420,0.2148750,0.0997847,0.0486013
5,24.6417191,21.5027700,0.1736147,0.0914576
6,22.8546816,50.0818283,0.0216777,0.0033906
7,10.8225991,50.6760877,0.0028291,0.0031094
8,10.5767155,46.8959978,0.0027842,0.0030104
9,10.4441337,48.9965707,0.0027608,0.0030332
10,10.3347702,46.0245801,0.0027459,0.0029908
11,10.2739952,43.9699453,0.0027286,0.0030096
12,10.1931328,44.0438761,0.0027270,0.0030847
13,10.1901962,48.5120110,0.0027241,0.0032281
14,10.1401917,44.5068647,0.0027157,0.0030343
15,10.1428878,46.6459155,0.0027191,0.0033005
16,10.0455962,46.8694711,0.0026993,0.0031950
17,10.0131457,44.8308437,0.0026968,0.0031496
18,9.9986514,47.8456885,0.0026906,0.0029885
19,9.9730066,47.6967474,0.0026879,0.0030717
20,9.9186180,51.8153707,0.0026767,0.0030652
21,9.8843387,43.3604960,0.0026692,0.0029390
22,9.8862372,46.8531417,0.0026711,0.0031184
23,9.8547386,45.8399525,0.0026659,0.0030456
24,9.8432593,43.3757325,0.0026639,0.0029886
25,9.8180930,44.2187634,0.0026546,0.0031796
26,9.8081928,48.5995924,0.0026538,0.0030469
27,9.7536755,47.7072921,0.0026480,0.0034890
28,9.7877767,48.6999031,0.0026534,0.0029882
29,9.7427053,44.0230896,0.0026399,0.0029346
30,9.7330801,48.2498341,0.0026393,0.0029725
31,9.7252496,48.5575063,0.0026403,0.0029807
32,9.7096353,45.2484603,0.0026364,0.0029562
33,9.6559910,44.3584992,0.0026250,0.0030333
34,9.6929806,46.8420511,0.0026301,0.0029320
Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,122.5760779,-0.1416392,0.1366877,0.0627467
2,0.4643717,23.4014308,0.0488937,0.0418214
3,1.3038867,-1.0711974,0.0364437,0.0335399
4,2.0878581,19.9427632,0.0285430,0.0188756
5,13.1263213,52.9875655,0.0040597,0.0034001
6,11.0461031,50.2161647,0.0029251,0.0033328
7,10.7387175,46.5569888,0.0028345,0.0032257
8,10.5458064,56.7614501,0.0027836,0.0038925
9,10.4593021,46.6849898,0.0027628,0.0031432
