Epoch,Train Loss,Val Loss
1,10415306.620915594,14.853847674
2,7.133118138,3.979529652
3,3.583799868,3.403695128
4,15131.338075574,112.580657142
5,56.231237402,34.423102690
6,23.451201369,14.145891890
7,8.549062197,5.067691027
8,17.255369128,4.102044912
9,8.264898750,5.090050255
10,90535.857289748,44.878002624
11,13.575034137,7.542747320
12,23.336758103,16.491066830
13,195.324001536,6.730977302
14,59.338897086,3.944240070
15,160.745992020,6.644144988
16,5.284922617,4.613859649
17,15452.263899206,7.187538707
18,12.992893268,20.361102688
19,116.247069131,6.811516071
20,6.391319366,6.213256967
21,6.159847419,6.098751097
22,5.993661802,5.833219791
23,301666738.451638937,49.161524189
24,47.279535985,45.878152127
25,43.215910250,40.463304033
26,683.179071171,48.441873414
27,30470.794493423,115.184325705
28,110.644732680,106.926998761
29,177704.967071611,47.575003429
30,38.390229203,32.881569415
31,29.205622826,25.920467795
32,109314.258223831,63.444952653
33,53.566536911,45.911252761
34,39.437836255,33.858686398
35,46.405800846,33.577727610
36,26.916284406,21.883637837
37,17.973131204,14.869678332
38,140.362033562,16.780349576
39,7.978500335,5.205611550
40,129.421885590,11.788395385
41,52120338.661943577,97.544423862
42,48.306389081,26.655217579
43,18.687443055,13.815253034
44,12.048781635,11.094447287
45,10.574759251,10.165591201
46,9.696079890,9.265762042
47,2607.620767982,8.709270711
48,8.245882268,7.898538986
49,7.599945831,7.345546749
50,7.081749209,6.824159406
51,79982.184951329,92.035107671
52,68.102149192,55.220042890
53,47.885208955,42.251208422
54,185329.634274813,155.851164915
55,120.529662403,103.139245559
56,90.710037549,80.709001269
57,70.436736738,61.472650217
58,52.092161424,43.794419775
59,114.515471829,145.409568787
60,48.419615852,15.784635189
61,7.617393120,5.724065598
62,5.438118054,5.192347420
63,49.307843510,6.428374959
64,5.757288928,5.284992208
65,45.742949939,5.635616495
66,5.018172893,4.646733610
67,1179.988874035,6.394528199
68,15.151264146,6.786380310
69,6.122570319,1044.753518404
70,282.236427067,8.638674468
71,46.024011167,8.450600714
72,6.255583597,5.813841007
73,29.735216191,10.266911609
74,5541.745179631,48.617941564
75,40528.788043901,43.232715762
76,37.204413070,32.866811811
77,28.782264572,166524.551121079
78,13639.413035630,25.950822743
79,1933.350141863,31.335083251
80,27.941961783,25.330436687
81,136684.480144276,29.075430598
82,88.211977405,67.536134934
83,52.334049608,40.685072821
84,31.671462246,23.803614529
85,17.947132158,13.283604009
86,10.583644894,8.750993145
87,7.921873037,7.391059951
88,7.122730623,6.941450766
89,6.847765505,6.777073203
90,6.703763447,6.620472054
91,6.485452954,6.300684440
92,1105.231651505,11.500275977
93,404366.670375296,34.841229799
94,136.807341637,32485.128431164
95,23.623323444,20.504648481
96,6982.504504272,58.099746996
97,43.549340642,35.905914891
98,739.490618533,98.039622521
99,70.463757728,52.336107877
100,37.975009578,25.630358550
