Epoch,Train Loss,Val Loss
1,7288.079595155,7006.178235112
2,6984.000505463,6958.466403261
3,6943.524660234,6938.790111308
4,6922.024470607,6943.450521664
5,6901.199825118,6959.830342195
6,6860.585481084,6994.563521405
7,6774.663169036,7052.268071389
8,6620.255241760,7228.820985132
9,6375.058123900,7462.530938596
10,6047.070976662,7626.359584263
11,5649.452634844,7933.703411492
12,5208.091753139,8417.347297513
13,4751.913218395,8717.346457968
14,2126.419389898,-1.081548857
15,-1.217475156,-1.077571864
16,-1.225940368,-1.050900154
17,-1.234300706,-1.067150731
18,-1.221084168,-1.092025180
19,-0.624656278,-1.158555451
20,-1.307780206,-1.168368917
21,-1.200772687,-1.095804669
22,-0.936211431,-0.871635139
23,-1.119582380,-1.213779777
24,-1.096729268,-1.115055291
25,-1.100189964,-1.176924543
26,-1.180529874,-1.254798359
27,-1.148575929,-1.005647780
28,-1.240405021,-1.253666898
29,-1.118551124,-1.192104067
30,-1.214297891,-1.238972666
31,-1.137095811,-1.265600555
32,-1.123830833,-1.062515470
33,-1.154862161,-1.278163234
34,-1.216085592,-1.275987885
35,-1.229703164,-1.344394720
36,-1.300911110,-1.328807733
37,-1.248740795,-1.328813420
38,-1.173305388,-0.836758299
39,-1.308019445,-1.399973881
40,-1.278704639,-1.307108502
41,-1.302287315,-1.298342080
42,-1.225503409,-1.300051176
43,-1.176477456,-1.221619800
44,-1.162341193,-1.215576419
45,-1.279570430,-1.301260697
46,-1.262798860,-1.281293168
47,-1.152927959,-0.732392071
48,-1.248512958,-1.340487756
49,-1.335017696,-1.281109085
50,-1.091016386,-1.316094735
51,-1.308297703,-1.270744372
52,-1.306048650,-1.339004819
53,-1.176899634,-1.262547823
54,0.317815895,-1.220761337
55,-1.304292980,-1.240507556
56,-1.258630170,-1.297853130
57,-1.259578196,-1.212277729
58,-1.275416411,-1.264795739
