Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,10415306.6209156,14.8538477,46332.1082409,104040.2661033
2,7.1331181,3.9795297,29663.8124256,3096.4701115
3,3.5837999,3.4036951,590.7501659,51.8806350
4,15131.3380756,112.5806571,8403440.2413707,5492840.5994898
5,56.2312374,34.4231027,1867022.2321857,778866.2994260
6,23.4512014,14.1458919,385047.7402281,194767.2069515
7,8.5490622,5.0676910,84507.7322082,29775.0811643
8,17.2553691,4.1020449,16402.2439076,3882.7229135
9,8.2648987,5.0900503,10364.1061156,4799.8593339
10,90535.8572897,44.8780026,3297317.6095383,4174475.8475765
11,13.5750341,7.5427473,1054546.7442559,303298.1221326
12,23.3367581,16.4910668,400469.7907823,662181.0642538
13,195.3240015,6.7309773,809111.8689069,193484.8176818
14,59.3388971,3.9442401,3275652.5645308,3539.9517723
15,160.7459920,6.6441450,5858888.9757646,159944.4202009
16,5.2849226,4.6138596,53278.1443526,15777.6309391
17,15452.2638992,7.1875387,48243390.4620512,710686.3373724
18,12.9928933,20.3611027,1444733.0805442,2623694.8762755
19,116.2470691,6.8115161,2940397.0089559,678143.6294643
20,6.3913194,6.2132570,274404.3410359,116731.9033602
21,6.1598474,6.0987511,87750.0918818,62907.1631956
22,5.9936618,5.8332198,43781.0206603,28732.7154666
23,301666738.4516389,49.1615242,6743672.7677881,8134226.2321429
24,47.2795360,45.8781521,7646985.3658029,7558355.2780612
25,43.2159102,40.4633040,7055747.5535829,6810402.0637755
26,683.1790712,48.4418734,6507884.5774152,6555556.7130102
27,30470.7944934,115.1843257,10592703.5457454,11460130.4540816
28,110.6447327,106.9269988,11090700.4811260,11221448.6045918
29,177704.9670716,47.5750034,16813821.0262316,36573595.1938775
30,38.3902292,32.8815694,26934105.0415867,23019667.2500000
31,29.2056228,25.9204678,20155428.5706974,18466920.7908163
32,109314.2582238,63.4449527,34685672.9245042,34564255.9030612
33,53.5665369,45.9112528,31358988.9987204,31062775.9285714
34,39.4378363,33.8586864,28593683.1861804,28121158.2755102
35,46.4058008,33.5777276,28790934.8374920,31226333.4897959
36,26.9162844,21.8836378,26332966.8669226,23617486.2346939
37,17.9731312,14.8696783,19211718.7594370,16672982.9744898
38,140.3620336,16.7803496,54042606.0777351,23756476.1683673
39,7.9785003,5.2056116,5524476.7285269,1050538.9775191
